"SoftPlot +Plus+ Measurement Management Software"
"Start", 9.541400000000000E+0008
"Stop", 9.741400000000000E+0008
"Points",2001
"Point","X-Axis (Hz)","West of Telstar 11N (dBm)","Telstar 11N (dBm)","East of Telstar 11N (dBm)","Signal Generator at 11504.02GHz into LNBF (dBm)"
71,964160000.000000000000,-99.942000000039,-97.665000000037,-89.422000000020,-87.429000000004
72,964162000.000000000000,-99.952000000048,-97.084000000032,-90.021999999997,-87.266999999993
73,964164000.000000000000,-100.023999999976,-96.614999999991,-89.111999999965,-87.386000000057
74,964166000.000000000000,-100.094999999972,-95.834000000032,-90.153999999980,-87.461000000010
75,964168000.000000000000,-99.942999999970,-95.527000000002,-89.011000000057,-87.444000000018
76,964170000.000000000000,-99.932000000030,-95.037999999942,-89.011999999988,-87.515000000014
77,964172000.000000000000,-100.091000000015,-94.361999999965,-89.261999999988,-87.599999999977
78,964174000.000000000000,-100.194999999949,-94.126999999979,-90.040999999968,-87.420999999973
79,964176000.000000000000,-100.047999999952,-93.782000000007,-89.089999999967,-87.234000000055
80,964178000.000000000000,-99.917000000016,-93.601999999955,-89.233000000007,-87.221999999951
81,964180000.000000000000,-100.207999999984,-93.194000000018,-89.287999999942,-87.119999999995
82,964182000.000000000000,-100.027000000002,-93.054000000004,-90.096000000020,-87.092999999993
83,964184000.000000000000,-100.030999999959,-92.962999999989,-88.753000000026,-86.947000000044
84,964186000.000000000000,-100.042999999947,-92.702000000048,-89.910999999964,-86.981999999960
85,964188000.000000000000,-100.052999999956,-92.548999999999,-88.621999999974,-87.119999999995
86,964190000.000000000000,-99.792000000016,-92.385000000009,-89.064000000013,-87.131999999983
87,964192000.000000000000,-100.023000000045,-92.207999999984,-89.168999999994,-87.187999999966
88,964194000.000000000000,-100.177000000025,-92.170000000042,-89.741999999969,-87.162000000011
89,964196000.000000000000,-100.005000000005,-92.209999999963,-89.023999999976,-87.118000000017
90,964198000.000000000000,-99.898999999976,-92.157000000007,-89.898000000045,-86.996000000043
91,964200000.000000000000,-99.908000000054,-92.077000000048,-88.866000000038,-87.020999999950
92,964202000.000000000000,-99.851000000024,-91.989999999991,-90.089999999967,-87.130000000005
93,964204000.000000000000,-99.873999999953,-91.790000000037,-89.082999999984,-87.236999999965
94,964206000.000000000000,-99.778000000049,-91.744999999995,-89.761999999988,-87.175000000047
95,964208000.000000000000,-99.898999999976,-91.712999999989,-89.047999999952,-86.939000000013
96,964210000.000000000000,-99.699999999953,-91.824999999953,-90.184000000008,-86.854999999981
97,964212000.000000000000,-99.631000000052,-91.667000000016,-88.962999999989,-86.851000000024
98,964214000.000000000000,-99.917000000016,-91.677000000025,-89.072999999975,-87.008000000031
99,964216000.000000000000,-100.006999999983,-91.684000000008,-89.336000000010,-87.148999999976
100,964218000.000000000000,-100.016999999993,-91.780000000028,-89.368999999948,-87.185999999987
101,964220000.000000000000,-100.067999999970,-91.771999999997,-89.439999999944,-87.354999999981
102,964222000.000000000000,-100.055000000051,-91.761000000057,-90.172000000020,-87.381999999983
103,964224000.000000000000,-100.057000000030,-91.898999999976,-89.418999999994,-87.444000000018
104,964226000.000000000000,-100.045000000042,-91.925999999978,-90.087000000058,-87.407000000007
105,964228000.000000000000,-100.160999999964,-91.949000000022,-89.104000000050,-87.390000000014
106,964230000.000000000000,-100.160999999964,-92.035000000033,-90.243000000017,-87.207999999984
107,964232000.000000000000,-99.940999999992,-92.079000000027,-89.435999999987,-87.079000000027
108,964234000.000000000000,-99.993999999948,-92.050999999978,-90.209000000032,-87.145000000019
109,964236000.000000000000,-100.160000000033,-92.033000000054,-89.516999999993,-87.013000000035
110,964238000.000000000000,-100.106999999960,-92.084000000032,-90.209999999963,-87.062999999966
111,964240000.000000000000,-99.957999999984,-92.057000000030,-89.057000000030,-87.197000000044
112,964242000.000000000000,-99.873000000021,-92.079999999958,-89.932999999961,-87.148999999976
113,964244000.000000000000,-99.927999999956,-91.951000000001,-89.136000000057,-87.170999999973
114,964246000.000000000000,-99.778999999980,-91.844999999972,-90.429000000004,-87.123000000021
115,964248000.000000000000,-99.841000000015,-91.773999999976,-89.332999999984,-87.271999999997
116,964250000.000000000000,-99.587000000058,-91.716000000015,-90.173999999999,-87.233000000007
117,964252000.000000000000,-99.679000000004,-91.758000000031,-89.356999999960,-87.192999999970
118,964254000.000000000000,-99.653999999980,-91.925999999978,-90.128000000026,-87.158000000054
119,964256000.000000000000,-99.822000000044,-91.885000000009,-89.231999999960,-87.261000000057
120,964258000.000000000000,-99.785999999964,-91.925000000047,-90.302000000025,-87.307999999961
121,964260000.000000000000,-99.883999999962,-91.986999999965,-89.456000000006,-87.288999999990
122,964262000.000000000000,-100.030000000028,-91.875000000000,-90.143999999971,-87.317000000039
123,964264000.000000000000,-100.011999999988,-91.944999999949,-89.417000000016,-87.300999999978
124,964266000.000000000000,-100.168999999994,-91.858000000007,-89.763000000035,-87.319000000018
125,964268000.000000000000,-100.099000000046,-91.822000000044,-89.672999999952,-87.336000000010
126,964270000.000000000000,-100.194999999949,-91.846999999951,-90.030000000028,-87.471000000020
127,964272000.000000000000,-100.057000000030,-91.802000000025,-89.140999999945,-87.334999999963
128,964274000.000000000000,-99.910000000033,-91.827999999980,-89.528000000049,-87.082000000053
129,964276000.000000000000,-99.920999999973,-91.864999999991,-89.283999999985,-87.131999999983
130,964278000.000000000000,-99.967999999993,-91.854999999981,-90.244999999995,-87.243999999948
131,964280000.000000000000,-99.930000000051,-91.900999999954,-89.273999999976,-87.114999999991
132,964282000.000000000000,-99.934000000008,-91.783000000054,-89.456000000006,-87.195999999996
133,964284000.000000000000,-99.859000000055,-91.817999999970,-89.283999999985,-87.037999999942
134,964286000.000000000000,-99.824999999953,-91.795999999973,-89.582000000053,-86.966000000015
135,964288000.000000000000,-99.927000000025,-91.920999999973,-89.795999999973,-86.878999999957
136,964290000.000000000000,-99.964999999967,-91.939000000013,-90.369999999995,-87.059000000008
137,964292000.000000000000,-99.925999999978,-91.871000000043,-89.592999999993,-86.868999999948
138,964294000.000000000000,-99.675999999978,-91.777000000002,-89.763000000035,-86.908000000054
139,964296000.000000000000,-99.734999999986,-91.812999999966,-89.690999999992,-87.020999999950
140,964298000.000000000000,-100.025000000023,-91.891999999993,-89.364999999991,-86.984999999986
141,964300000.000000000000,-99.907000000007,-92.011999999988,-89.359999999986,-87.109999999986
142,964302000.000000000000,-99.907000000007,-91.969000000041,-89.613999999943,-87.322000000044
143,964304000.000000000000,-99.896999999997,-92.087000000058,-89.513000000035,-87.498000000021
144,964306000.000000000000,-99.802000000025,-92.143999999971,-90.400000000023,-87.287999999942
145,964308000.000000000000,-99.748999999953,-92.091000000015,-89.349999999977,-87.214000000036
146,964310000.000000000000,-99.962000000058,-92.116999999969,-90.253000000026,-87.126999999979
147,964312000.000000000000,-99.777000000002,-91.981000000029,-89.231999999960,-87.187999999966
148,964314000.000000000000,-99.712999999989,-91.934000000008,-89.192000000039,-87.167999999947
149,964316000.000000000000,-99.844999999972,-91.937999999966,-89.456000000006,-87.091999999946
150,964318000.000000000000,-99.930000000051,-91.902000000002,-90.028000000049,-86.778000000049
151,964320000.000000000000,-99.873000000021,-91.854999999981,-89.331000000006,-86.748999999953
152,964322000.000000000000,-99.820999999996,-91.964999999967,-89.469999999972,-86.988999999943
153,964324000.000000000000,-99.773999999976,-92.028999999980,-89.596999999951,-87.047000000020
154,964326000.000000000000,-99.795000000042,-92.192000000039,-90.113999999943,-87.069000000018
155,964328000.000000000000,-99.814999999944,-92.378999999957,-89.244999999995,-87.190999999992
156,964330000.000000000000,-99.939999999944,-92.500000000000,-90.028000000049,-87.219000000041
157,964332000.000000000000,-99.577000000048,-92.574000000022,-89.096999999951,-87.427000000025
158,964334000.000000000000,-99.699000000022,-92.790000000037,-90.224999999977,-87.434000000008
159,964336000.000000000000,-99.739999999991,-93.069000000018,-89.423999999999,-87.344000000041
160,964338000.000000000000,-99.780000000028,-93.194000000018,-90.261000000057,-87.613999999943
161,964340000.000000000000,-99.929000000004,-93.369999999995,-89.295999999973,-87.537999999942
162,964342000.000000000000,-99.809000000008,-93.579000000027,-90.179000000004,-87.373999999953
163,964344000.000000000000,-99.920000000042,-94.094999999972,-89.263000000035,-87.359999999986
164,964346000.000000000000,-99.932999999961,-94.510000000009,-89.603000000003,-87.435000000056
165,964348000.000000000000,-99.768000000040,-95.057999999961,-89.364999999991,-87.329000000027
166,964350000.000000000000,-99.758000000031,-95.576000000001,-89.434000000008,-87.371999999974
167,964352000.000000000000,-99.935999999987,-96.025999999954,-89.444999999949,-87.361999999965
168,964354000.000000000000,-99.837999999989,-96.701000000001,-90.150000000023,-87.496999999974
169,964356000.000000000000,-99.729000000050,-97.224999999977,-89.074000000022,-87.726000000024
170,964358000.000000000000,-99.937999999966,-97.496999999974,-90.167000000016,-87.361000000034
171,964360000.000000000000,-99.854000000050,-98.273999999976,-89.285000000033,-87.153000000049
172,964362000.000000000000,-100.030000000028,-98.890999999945,-90.074000000022,-87.140999999945
173,964364000.000000000000,-99.939000000013,-99.008000000031,-89.177000000025,-87.131000000052
174,964366000.000000000000,-99.986999999965,-99.390000000014,-90.226000000024,-86.912999999942
175,964368000.000000000000,-99.765999999945,-99.658000000054,-89.361999999965,-86.829000000027
176,964370000.000000000000,-99.790000000037,-99.893999999971,-89.582000000053,-86.822999999975
177,964372000.000000000000,-99.929000000004,-99.890000000014,-89.351000000024,-87.243999999948
178,964374000.000000000000,-99.964000000036,-99.917999999947,-90.266999999993,-87.312000000034
179,964376000.000000000000,-99.717999999993,-99.633999999962,-89.199000000022,-87.189999999944
180,964378000.000000000000,-99.812000000034,-99.331000000006,-89.157000000007,-87.109000000055
181,964380000.000000000000,-99.820999999996,-98.609000000055,-89.295000000042,-87.028000000049
182,964382000.000000000000,-99.707000000053,-98.623000000021,-90.344999999972,-87.126999999979
183,964384000.000000000000,-99.804000000004,-97.341000000015,-89.381999999983,-87.229999999981
184,964386000.000000000000,-99.606000000029,-96.685000000056,-89.467999999993,-87.217999999993
185,964388000.000000000000,-99.628000000026,-96.217999999993,-89.711000000010,-87.207999999984
186,964390000.000000000000,-99.876999999979,-95.398999999976,-89.368999999948,-87.560000000056
187,964392000.000000000000,-99.861999999965,-94.959000000032,-89.457000000053,-87.265999999945
188,964394000.000000000000,-99.609000000055,-94.525000000023,-90.349000000046,-87.226999999955
189,964396000.000000000000,-99.738999999943,-94.229000000050,-88.881999999983,-87.270000000019
190,964398000.000000000000,-99.834999999963,-93.574999999953,-90.398999999976,-86.944999999949
191,964400000.000000000000,-99.790000000037,-93.381999999983,-88.988000000012,-86.864999999991
192,964402000.000000000000,-99.773000000045,-93.222999999998,-90.219000000041,-86.979000000050
193,964404000.000000000000,-99.881000000052,-92.905000000028,-89.368999999948,-86.962000000058
194,964406000.000000000000,-99.628999999957,-92.780000000028,-89.515000000014,-87.003999999957
195,964408000.000000000000,-99.643999999971,-92.584000000032,-89.523000000045,-87.150999999954
196,964410000.000000000000,-99.841999999946,-92.300999999978,-90.261999999988,-87.410000000033
197,964412000.000000000000,-99.991000000038,-92.015000000014,-89.253999999957,-87.415000000037
198,964414000.000000000000,-100.229999999981,-92.035000000033,-89.805000000051,-87.354000000050
199,964416000.000000000000,-100.084999999963,-92.028999999980,-89.087999999989,-87.172000000020
200,964418000.000000000000,-100.074000000022,-91.881999999983,-90.481999999960,-87.155999999959
201,964420000.000000000000,-100.248000000021,-91.859000000055,-89.459000000032,-87.158000000054
202,964422000.000000000000,-100.177000000025,-91.881000000052,-90.096999999951,-87.153000000049
203,964424000.000000000000,-99.996999999974,-91.748999999953,-89.045000000042,-87.222999999998
204,964426000.000000000000,-99.824000000022,-91.677000000025,-90.016999999993,-87.241999999969
205,964428000.000000000000,-99.883000000031,-91.761000000057,-89.285999999964,-87.204000000027
206,964430000.000000000000,-99.807999999961,-92.035999999964,-89.356000000029,-87.206000000006
207,964432000.000000000000,-99.881999999983,-91.981999999960,-88.939000000013,-87.256000000052
208,964434000.000000000000,-99.824999999953,-91.993000000017,-90.040999999968,-87.255000000005
209,964436000.000000000000,-99.809000000008,-92.028999999980,-88.929000000004,-87.496000000043
210,964438000.000000000000,-99.756999999983,-92.226000000024,-90.035000000033,-87.630000000005
211,964440000.000000000000,-99.853000000003,-92.130000000005,-88.873000000021,-87.508000000031
212,964442000.000000000000,-99.846999999951,-92.148000000045,-89.527000000002,-87.452999999980
213,964444000.000000000000,-99.937000000034,-92.111999999965,-89.368999999948,-87.403000000049
214,964446000.000000000000,-99.819999999949,-92.280000000028,-89.692000000039,-87.243000000017
215,964448000.000000000000,-99.861999999965,-92.202999999980,-88.788999999990,-87.025000000023
216,964450000.000000000000,-100.177999999956,-92.140000000014,-89.511999999988,-86.998999999953
217,964452000.000000000000,-99.927999999956,-92.148999999976,-88.716999999946,-87.182000000030
218,964454000.000000000000,-99.775999999954,-92.226000000024,-89.128000000026,-87.199000000022
219,964456000.000000000000,-99.827999999980,-92.202999999980,-89.334000000032,-87.170000000042
220,964458000.000000000000,-100.059000000008,-92.097999999998,-89.893000000040,-87.094000000041
221,964460000.000000000000,-100.005000000005,-91.907000000007,-89.099000000046,-87.212999999989
222,964462000.000000000000,-100.008999999962,-91.895999999950,-90.128000000026,-87.204999999958
223,964464000.000000000000,-99.981000000029,-91.873000000021,-89.059000000008,-87.101999999955
224,964466000.000000000000,-99.929000000004,-91.900999999954,-89.623000000021,-87.266999999993
225,964468000.000000000000,-100.099999999977,-91.932999999961,-88.736000000034,-87.346000000020
226,964470000.000000000000,-99.991999999969,-91.832000000053,-88.770000000019,-87.452999999980
227,964472000.000000000000,-99.972999999998,-91.876000000047,-89.221999999951,-87.410999999964
228,964474000.000000000000,-99.912999999942,-92.050000000047,-89.386999999988,-87.319000000018
229,964476000.000000000000,-99.920000000042,-92.003999999957,-88.856999999960,-87.307999999961
230,964478000.000000000000,-99.979999999981,-92.023999999976,-89.092999999993,-87.359000000055
231,964480000.000000000000,-99.942000000039,-92.077000000048,-89.150000000023,-87.243999999948
232,964482000.000000000000,-99.702999999980,-92.006000000052,-89.533999999985,-87.187999999966
233,964484000.000000000000,-99.662000000011,-91.991000000038,-88.559000000008,-87.239999999991
234,964486000.000000000000,-99.847999999998,-91.981000000029,-90.265000000014,-87.221000000020
235,964488000.000000000000,-100.003999999957,-91.915000000037,-89.106999999960,-87.251999999979
236,964490000.000000000000,-100.089999999967,-91.854000000050,-90.027000000002,-87.214000000036
237,964492000.000000000000,-100.180999999982,-91.873000000021,-88.969000000041,-87.261000000057
238,964494000.000000000000,-100.216999999946,-91.961000000010,-90.030999999959,-87.162999999942
239,964496000.000000000000,-100.173999999999,-92.011999999988,-88.856000000029,-87.060000000056
240,964498000.000000000000,-100.001000000047,-91.952999999980,-90.048999999999,-86.802000000025
241,964500000.000000000000,-100.001000000047,-91.817999999970,-89.158999999985,-86.770000000019
242,964502000.000000000000,-100.234000000055,-91.795999999973,-89.224000000046,-86.864999999991
243,964504000.000000000000,-100.285999999964,-91.827000000048,-89.420000000042,-86.947000000044
