"SoftPlot +Plus+ Measurement Management Software"
"Start", 9.541400000000000E+0008
"Stop", 9.741400000000000E+0008
"Points",2001
"Point","X-Axis (Hz)","West of Telstar 11N (dBm)","Telstar 11N (dBm)","East of Telstar 11N (dBm)","Signal Generator at 11504.02GHz into LNBF (dBm)"
509,965036000.000000000000,-100.045999999973,-100.875000000000,-89.287000000011,-87.076000000001
510,965038000.000000000000,-100.246999999974,-100.800000000047,-90.070999999996,-87.077999999980
511,965040000.000000000000,-100.327999999980,-100.787999999942,-89.332999999984,-87.028000000049
512,965042000.000000000000,-100.295000000042,-100.653000000049,-90.065999999992,-87.113000000012
513,965044000.000000000000,-99.979000000050,-100.645000000019,-89.209000000032,-87.317000000039
514,965046000.000000000000,-99.903999999980,-100.657000000007,-90.334000000032,-87.241000000038
515,965048000.000000000000,-99.881000000052,-100.618000000017,-89.180000000051,-87.072999999975
516,965050000.000000000000,-99.802000000025,-100.667000000016,-89.371999999974,-87.060999999987
517,965052000.000000000000,-99.608000000007,-100.741000000038,-89.500000000000,-87.079000000027
518,965054000.000000000000,-99.545999999973,-100.908000000054,-89.342999999993,-87.037000000011
519,965056000.000000000000,-99.625000000000,-100.873999999953,-89.126999999979,-87.077999999980
520,965058000.000000000000,-99.601999999955,-100.880000000005,-90.194999999949,-87.082999999984
521,965060000.000000000000,-99.706000000006,-100.925000000047,-89.317999999970,-87.099999999977
522,965062000.000000000000,-99.969000000041,-100.890000000014,-89.300000000047,-87.209000000032
523,965064000.000000000000,-99.807999999961,-100.853000000003,-89.209999999963,-87.425999999978
524,965066000.000000000000,-99.869999999995,-100.842999999993,-89.378000000026,-87.486999999965
525,965068000.000000000000,-100.033999999985,-100.851999999955,-89.204999999958,-87.332999999984
526,965070000.000000000000,-99.974000000046,-100.704000000027,-89.277000000002,-87.277000000002
527,965072000.000000000000,-100.027000000002,-100.758000000031,-89.162000000011,-87.192999999970
528,965074000.000000000000,-100.072999999975,-100.961000000010,-89.489999999991,-87.194000000018
529,965076000.000000000000,-100.126999999979,-100.917000000016,-89.474999999977,-87.133999999962
530,965078000.000000000000,-100.244999999995,-100.847999999998,-89.704000000027,-87.016999999993
531,965080000.000000000000,-100.251000000047,-100.770999999950,-89.751000000047,-87.050000000047
532,965082000.000000000000,-99.912999999942,-100.572999999975,-89.738999999943,-86.913999999990
533,965084000.000000000000,-99.947000000044,-100.625000000000,-89.695999999996,-87.001000000047
534,965086000.000000000000,-99.790000000037,-100.623000000021,-90.250000000000,-87.393999999971
535,965088000.000000000000,-99.908999999985,-100.513000000035,-89.570999999996,-87.398000000045
536,965090000.000000000000,-100.109000000055,-100.616999999969,-90.158999999985,-87.501000000047
537,965092000.000000000000,-100.133999999962,-100.418999999994,-89.271999999997,-87.395999999950
538,965094000.000000000000,-100.128999999957,-100.314000000013,-89.613999999943,-87.246999999974
539,965096000.000000000000,-99.961000000010,-100.319000000018,-89.523000000045,-87.172000000020
540,965098000.000000000000,-99.587999999989,-100.341000000015,-90.292000000016,-87.185999999987
541,965100000.000000000000,-99.535000000033,-100.060999999987,-89.550999999978,-87.067999999970
542,965102000.000000000000,-99.592999999993,-100.118999999948,-90.540000000037,-87.194999999949
543,965104000.000000000000,-99.577000000048,-100.239999999991,-89.695999999996,-87.356000000029
544,965106000.000000000000,-99.542999999947,-99.930000000051,-90.266999999993,-87.366000000038
545,965108000.000000000000,-99.915999999968,-99.886000000057,-89.363000000012,-87.550999999978
546,965110000.000000000000,-100.065999999992,-99.922000000020,-90.195999999996,-87.420999999973
547,965112000.000000000000,-99.940999999992,-99.807999999961,-89.489999999991,-87.297000000020
548,965114000.000000000000,-99.881999999983,-99.753000000026,-89.668999999994,-87.339000000036
549,965116000.000000000000,-99.978000000003,-99.785999999964,-89.778999999980,-87.185999999987
550,965118000.000000000000,-99.944000000018,-99.653000000049,-90.354999999981,-87.170000000042
551,965120000.000000000000,-99.922000000020,-99.653000000049,-89.478000000003,-87.175000000047
552,965122000.000000000000,-100.035999999964,-99.646999999997,-89.407000000007,-87.337000000058
553,965124000.000000000000,-100.064000000013,-99.521999999997,-89.609000000055,-87.266999999993
554,965126000.000000000000,-99.918999999994,-99.474999999977,-89.618000000017,-87.238999999943
555,965128000.000000000000,-99.832000000053,-99.248999999953,-89.559000000008,-87.231999999960
556,965130000.000000000000,-99.979000000050,-99.234000000055,-90.266999999993,-87.229000000050
557,965132000.000000000000,-100.047999999952,-99.202999999980,-89.398999999976,-87.309000000008
558,965134000.000000000000,-99.729000000050,-99.010000000009,-89.863999999943,-87.339999999967
559,965136000.000000000000,-99.758999999962,-99.028000000049,-89.837000000058,-87.209000000032
560,965138000.000000000000,-99.552999999956,-98.983000000007,-90.486999999965,-87.074000000022
561,965140000.000000000000,-99.699000000022,-98.962000000058,-89.704000000027,-87.175000000047
562,965142000.000000000000,-99.712999999989,-98.795999999973,-90.562000000034,-87.239999999991
563,965144000.000000000000,-99.439999999944,-98.920999999973,-89.386999999988,-87.104999999981
564,965146000.000000000000,-99.707000000053,-98.964000000036,-89.739999999991,-86.949999999953
565,965148000.000000000000,-99.635000000009,-98.949999999953,-89.699000000022,-86.979000000050
566,965150000.000000000000,-99.780000000028,-98.851999999955,-89.638999999966,-87.243999999948
567,965152000.000000000000,-99.792000000016,-98.809000000008,-89.726999999955,-87.314999999944
568,965154000.000000000000,-99.925999999978,-98.834999999963,-89.626000000047,-87.221999999951
569,965156000.000000000000,-99.883999999962,-98.824000000022,-89.616000000038,-87.145999999950
570,965158000.000000000000,-99.770000000019,-98.466000000015,-90.126999999979,-87.212999999989
571,965160000.000000000000,-99.788999999990,-98.518999999971,-89.484000000055,-87.172999999952
572,965162000.000000000000,-99.986999999965,-98.527000000002,-90.204999999958,-87.153999999980
573,965164000.000000000000,-100.050000000047,-98.538999999990,-89.442999999970,-87.101000000024
574,965166000.000000000000,-100.084000000032,-98.300000000047,-90.312999999966,-87.152000000002
575,965168000.000000000000,-100.011000000057,-98.510000000009,-89.650000000023,-87.035999999964
576,965170000.000000000000,-100.040000000037,-98.402000000002,-89.988000000012,-87.052999999956
577,965172000.000000000000,-99.888000000035,-98.444999999949,-89.273999999976,-87.128999999957
578,965174000.000000000000,-99.788999999990,-98.324000000022,-90.456000000006,-87.175000000047
579,965176000.000000000000,-99.822000000044,-98.270999999950,-89.383999999962,-87.194999999949
580,965178000.000000000000,-99.721000000020,-98.209000000032,-90.322999999975,-87.192999999970
581,965180000.000000000000,-99.734000000055,-98.162999999942,-89.359999999986,-87.265000000014
582,965182000.000000000000,-99.790999999968,-98.363000000012,-90.298999999999,-87.170999999973
583,965184000.000000000000,-99.957999999984,-98.359000000055,-89.400999999954,-87.390000000014
584,965186000.000000000000,-100.069999999949,-98.280000000028,-89.258000000031,-87.248999999953
585,965188000.000000000000,-99.974999999977,-98.319999999949,-89.368000000017,-87.167000000016
586,965190000.000000000000,-99.947999999975,-98.483000000007,-89.920000000042,-87.231999999960
587,965192000.000000000000,-99.820999999996,-98.310999999987,-89.292999999947,-87.202999999980
588,965194000.000000000000,-99.832000000053,-98.314999999944,-89.520000000019,-87.175000000047
589,965196000.000000000000,-100.194999999949,-98.542000000016,-89.496000000043,-87.346000000020
590,965198000.000000000000,-99.964000000036,-98.324999999953,-90.481000000029,-87.197000000044
591,965200000.000000000000,-99.959000000032,-98.314999999944,-89.466999999946,-87.060000000056
592,965202000.000000000000,-99.996000000043,-98.432000000030,-89.815999999992,-87.035999999964
593,965204000.000000000000,-99.988999999943,-98.435999999987,-89.413999999990,-86.962999999989
594,965206000.000000000000,-99.988000000012,-98.339999999967,-89.847999999998,-87.054000000004
595,965208000.000000000000,-99.978000000003,-98.280000000028,-89.435999999987,-87.057999999961
596,965210000.000000000000,-99.925999999978,-98.408999999985,-89.743999999948,-87.035000000033
597,965212000.000000000000,-100.116000000038,-98.302000000025,-89.756000000052,-86.988000000012
598,965214000.000000000000,-99.988999999943,-98.244999999995,-90.361000000034,-87.052000000025
599,965216000.000000000000,-100.003999999957,-98.432999999961,-89.395000000019,-87.261000000057
600,965218000.000000000000,-100.025000000023,-98.353000000003,-89.351999999955,-87.006000000052
601,965220000.000000000000,-99.947999999975,-98.234000000055,-89.153000000049,-86.993000000017
602,965222000.000000000000,-99.917000000016,-98.229000000050,-89.488999999943,-87.010000000009
603,965224000.000000000000,-100.025000000023,-98.197999999975,-89.503999999957,-87.011000000057
604,965226000.000000000000,-99.878999999957,-98.307000000030,-90.506999999983,-87.079000000027
605,965228000.000000000000,-99.599000000046,-98.400999999954,-89.618999999948,-87.005000000005
606,965230000.000000000000,-99.780999999959,-98.358000000007,-90.523000000045,-87.076000000001
607,965232000.000000000000,-99.775999999954,-98.087000000058,-89.628999999957,-87.282000000007
608,965234000.000000000000,-99.993000000017,-98.158000000054,-90.548999999999,-87.221000000020
609,965236000.000000000000,-99.920000000042,-98.180999999982,-89.584000000032,-87.378999999957
610,965238000.000000000000,-99.851000000024,-98.346000000020,-89.665999999968,-87.273000000045
611,965240000.000000000000,-99.628999999957,-98.290999999968,-89.746000000043,-87.275999999954
612,965242000.000000000000,-99.503999999957,-98.239999999991,-90.271999999997,-87.123000000021
613,965244000.000000000000,-99.498999999953,-98.292999999947,-89.415999999968,-87.111000000034
614,965246000.000000000000,-99.554000000004,-98.251000000047,-90.491999999969,-87.006000000052
615,965248000.000000000000,-99.670999999973,-98.341000000015,-89.423999999999,-86.984999999986
616,965250000.000000000000,-99.734999999986,-98.283999999985,-90.287000000011,-87.015999999945
617,965252000.000000000000,-99.721999999951,-98.116999999969,-89.329999999958,-87.109999999986
618,965254000.000000000000,-99.937000000034,-98.244999999995,-90.395000000019,-87.180999999982
619,965256000.000000000000,-99.925999999978,-98.229999999981,-89.550999999978,-87.121999999974
620,965258000.000000000000,-99.721999999951,-98.170000000042,-89.731999999960,-87.261000000057
621,965260000.000000000000,-99.668999999994,-98.305999999982,-89.520000000019,-87.253999999957
622,965262000.000000000000,-99.910000000033,-98.263999999966,-89.775000000023,-87.295999999973
623,965264000.000000000000,-99.908000000054,-98.153999999980,-89.793999999994,-87.403000000049
624,965266000.000000000000,-99.927000000025,-97.944999999949,-90.456000000006,-87.400999999954
625,965268000.000000000000,-99.881000000052,-98.015999999945,-89.552999999956,-87.478000000003
626,965270000.000000000000,-99.988000000012,-98.028000000049,-90.432000000030,-87.263999999966
627,965272000.000000000000,-99.942999999970,-98.023999999976,-89.599999999977,-87.273000000045
628,965274000.000000000000,-99.900999999954,-98.047999999952,-90.454000000027,-87.342999999993
629,965276000.000000000000,-99.910999999964,-98.244999999995,-89.572999999975,-87.096000000020
630,965278000.000000000000,-99.837999999989,-98.121000000043,-90.331000000006,-87.108000000007
631,965280000.000000000000,-99.947999999975,-98.136999999988,-89.302000000025,-87.145999999950
632,965282000.000000000000,-100.121999999974,-98.185999999987,-90.623000000021,-87.297000000020
633,965284000.000000000000,-100.054000000004,-98.173999999999,-89.298999999999,-87.221999999951
634,965286000.000000000000,-100.035000000033,-98.077000000048,-89.569000000018,-87.314000000013
635,965288000.000000000000,-99.873000000021,-98.148000000045,-89.371999999974,-87.131999999983
636,965290000.000000000000,-100.033999999985,-98.148000000045,-89.714000000036,-87.136000000057
637,965292000.000000000000,-100.140000000014,-98.388999999966,-89.734000000055,-87.204999999958
638,965294000.000000000000,-100.113000000012,-98.118999999948,-89.648000000045,-87.317999999970
639,965296000.000000000000,-99.839999999967,-98.072000000044,-89.839000000036,-87.312000000034
640,965298000.000000000000,-99.763999999966,-98.072000000044,-89.728000000003,-87.155000000028
641,965300000.000000000000,-99.842999999993,-98.126000000047,-89.780999999959,-87.148000000045
642,965302000.000000000000,-99.766999999993,-98.278999999980,-89.724999999977,-87.111000000034
643,965304000.000000000000,-99.717999999993,-98.153000000049,-89.841000000015,-87.194999999949
644,965306000.000000000000,-99.949000000022,-98.081000000006,-90.810000000056,-87.136000000057
645,965308000.000000000000,-99.670999999973,-98.170999999973,-89.864999999991,-87.138000000035
646,965310000.000000000000,-99.680999999982,-98.141999999993,-89.902000000002,-87.383000000031
647,965312000.000000000000,-99.802000000025,-98.246999999974,-89.701000000001,-87.263000000035
648,965314000.000000000000,-99.927999999956,-98.282000000007,-90.792999999947,-87.307999999961
649,965316000.000000000000,-99.756999999983,-98.125000000000,-89.584999999963,-87.185999999987
650,965318000.000000000000,-99.658000000054,-98.138000000035,-90.616999999969,-87.283999999985
651,965320000.000000000000,-99.751000000047,-98.101999999955,-89.591000000015,-87.204999999958
652,965322000.000000000000,-100.006999999983,-98.143000000040,-90.969999999972,-87.295999999973
653,965324000.000000000000,-100.020000000019,-98.192999999970,-89.349999999977,-87.131000000052
654,965326000.000000000000,-100.197000000044,-98.226000000024,-90.770000000019,-87.072999999975
655,965328000.000000000000,-100.116000000038,-98.481999999960,-89.805999999982,-87.020999999950
656,965330000.000000000000,-100.074000000022,-98.310000000056,-90.616000000038,-87.087000000058
657,965332000.000000000000,-99.908999999985,-98.260000000009,-89.771999999997,-87.097999999998
658,965334000.000000000000,-99.873000000021,-98.363000000012,-89.834999999963,-87.153000000049
659,965336000.000000000000,-100.086000000010,-98.109000000055,-89.937000000034,-87.319999999949
660,965338000.000000000000,-99.849999999977,-98.182999999961,-89.915000000037,-87.155999999959
661,965340000.000000000000,-99.957999999984,-98.096999999951,-89.645000000019,-87.199999999953
662,965342000.000000000000,-99.947000000044,-98.001000000047,-90.711000000010,-87.295999999973
663,965344000.000000000000,-99.925000000047,-98.067000000039,-89.741000000038,-87.347999999998
664,965346000.000000000000,-100.114999999991,-98.146999999997,-89.736999999965,-87.520999999950
665,965348000.000000000000,-100.087999999989,-98.207000000053,-89.532000000007,-87.437999999966
666,965350000.000000000000,-99.785000000033,-98.172999999952,-90.540000000037,-87.378999999957
667,965352000.000000000000,-99.714999999967,-98.114999999991,-89.520999999950,-87.368999999948
668,965354000.000000000000,-99.804000000004,-98.261999999988,-90.687999999966,-87.391999999993
669,965356000.000000000000,-99.616999999969,-98.268999999971,-89.439000000013,-87.402000000002
670,965358000.000000000000,-99.584000000032,-98.138000000035,-90.057000000030,-87.516999999993
671,965360000.000000000000,-100.035000000033,-98.260000000009,-89.268999999971,-87.383000000031
672,965362000.000000000000,-100.131999999983,-98.290000000037,-90.591999999946,-87.373000000021
673,965364000.000000000000,-100.135000000009,-98.229999999981,-89.706000000006,-87.258999999962
674,965366000.000000000000,-100.158999999985,-98.145000000019,-89.758999999962,-87.211000000010
675,965368000.000000000000,-100.092999999993,-98.295000000042,-89.334999999963,-87.060999999987
676,965370000.000000000000,-99.920999999973,-98.170999999973,-90.055999999982,-87.123000000021
677,965372000.000000000000,-100.116999999969,-98.170999999973,-89.290000000037,-86.905000000028
678,965374000.000000000000,-100.106999999960,-98.119999999995,-89.469000000041,-86.743000000017
679,965376000.000000000000,-100.030000000028,-98.207999999984,-89.204000000027,-86.631000000052
680,965378000.000000000000,-100.138999999966,-98.206000000006,-89.434000000008,-86.728000000003
681,965380000.000000000000,-100.167000000016,-98.160999999964,-89.557999999961,-86.864999999991
682,965382000.000000000000,-100.222999999998,-98.182000000030,-90.376000000047,-86.861999999965
683,965384000.000000000000,-100.199999999953,-98.111999999965,-89.381000000052,-86.903000000049
684,965386000.000000000000,-100.195999999996,-98.060000000056,-90.564999999944,-87.005000000005
685,965388000.000000000000,-100.194999999949,-97.957000000053,-89.687000000034,-87.113999999943
686,965390000.000000000000,-100.351000000024,-97.966000000015,-89.660000000033,-87.172000000020
687,965392000.000000000000,-100.297999999952,-98.030999999959,-89.589999999967,-87.226000000024
688,965394000.000000000000,-100.320999999996,-98.266999999993,-89.766999999993,-87.001000000047
689,965396000.000000000000,-100.145000000019,-98.032000000007,-89.606000000029,-86.804000000004
690,965398000.000000000000,-100.331000000006,-97.913999999990,-90.748999999953,-86.832000000053
691,965400000.000000000000,-100.189999999944,-97.861999999965,-89.501000000047,-86.971999999951
692,965402000.000000000000,-100.091999999946,-98.165999999968,-90.277000000002,-87.114999999991
693,965404000.000000000000,-100.148999999976,-98.180000000051,-89.547000000020,-87.197000000044
694,965406000.000000000000,-100.403000000049,-98.192000000039,-90.351999999955,-87.187999999966
695,965408000.000000000000,-100.537000000011,-98.092999999993,-89.584999999963,-87.145999999950
696,965410000.000000000000,-100.579000000027,-98.057000000030,-89.731000000029,-87.207000000053
697,965412000.000000000000,-100.442999999970,-98.069000000018,-89.422999999952,-87.062000000034
698,965414000.000000000000,-100.596000000020,-98.104000000050,-90.209000000032,-87.006999999983
699,965416000.000000000000,-100.707000000053,-98.062000000034,-89.425000000047,-87.079000000027
700,965418000.000000000000,-100.625000000000,-98.383000000031,-90.459000000032,-86.800999999978
701,965420000.000000000000,-100.609000000055,-98.366000000038,-89.650999999954,-86.800000000047
702,965422000.000000000000,-100.810999999987,-98.354000000050,-89.775999999954,-87.011000000057
703,965424000.000000000000,-100.743999999948,-98.334999999963,-89.846999999951,-87.167000000016
704,965426000.000000000000,-100.837999999989,-98.304000000004,-90.628000000026,-87.167999999947
705,965428000.000000000000,-100.947000000044,-98.386000000057,-89.829000000027,-87.047000000020
706,965430000.000000000000,-100.775000000023,-98.278000000049,-89.978000000003,-87.050000000047
707,965432000.000000000000,-100.863999999943,-98.248999999953,-89.792000000016,-87.091000000015
708,965434000.000000000000,-101.158000000054,-98.052999999956,-90.373999999953,-87.356999999960
709,965436000.000000000000,-101.246999999974,-98.065999999992,-89.682000000030,-87.064999999944
710,965438000.000000000000,-101.158000000054,-97.878999999957,-90.221000000020,-86.927999999956
711,965440000.000000000000,-101.158000000054,-97.908999999985,-89.491000000038,-86.837000000058
712,965442000.000000000000,-101.081000000006,-98.275000000023,-90.310000000056,-86.875000000000
713,965444000.000000000000,-101.182000000030,-98.290999999968,-89.204000000027,-86.964999999967
714,965446000.000000000000,-101.420999999973,-98.423999999999,-89.734000000055,-86.971000000020
715,965448000.000000000000,-101.368999999948,-98.439999999944,-89.692999999970,-86.942999999970
716,965450000.000000000000,-101.329999999958,-98.363000000012,-90.283999999985,-86.827000000048
717,965452000.000000000000,-101.248000000021,-98.275000000023,-89.579999999958,-86.765000000014
718,965454000.000000000000,-101.543999999994,-98.287000000011,-90.420000000042,-86.915999999968
719,965456000.000000000000,-101.481000000029,-98.047000000020,-89.400999999954,-86.841999999946
720,965458000.000000000000,-101.488000000012,-97.957000000053,-90.386999999988,-86.988000000012
721,965460000.000000000000,-101.628999999957,-97.908999999985,-89.508999999962,-87.030000000028
722,965462000.000000000000,-101.530000000028,-97.908000000054,-90.158000000054,-86.925999999978
723,965464000.000000000000,-101.538999999990,-97.827000000048,-89.454000000027,-86.986999999965
724,965466000.000000000000,-101.555000000051,-97.883000000031,-90.412000000011,-86.959999999963
725,965468000.000000000000,-101.726000000024,-97.998999999953,-89.486999999965,-87.023000000045
726,965470000.000000000000,-101.839000000036,-98.337999999989,-90.324999999953,-87.081000000006
727,965472000.000000000000,-101.746999999974,-98.251000000047,-89.307000000030,-87.135000000009
728,965474000.000000000000,-101.920999999973,-98.331000000006,-89.410000000033,-87.087999999989
729,965476000.000000000000,-101.831000000006,-98.332999999984,-89.395999999950,-87.062000000034
730,965478000.000000000000,-101.890999999945,-98.395000000019,-89.660999999964,-87.008000000031
731,965480000.000000000000,-101.863000000012,-98.322000000044,-89.070999999996,-86.940999999992
732,965482000.000000000000,-101.881999999983,-98.248000000021,-90.033999999985,-86.956000000006
733,965484000.000000000000,-101.903000000049,-98.287999999942,-89.167999999947,-87.131000000052
734,965486000.000000000000,-101.996999999974,-98.150999999954,-89.324000000022,-87.070999999996
735,965488000.000000000000,-102.128000000026,-98.121999999974,-89.133999999962,-87.091000000015
736,965490000.000000000000,-102.020999999950,-98.015999999945,-90.018000000040,-87.346000000020
737,965492000.000000000000,-101.981999999960,-98.162000000011,-89.258000000031,-87.408999999985
738,965494000.000000000000,-101.910999999964,-98.238999999943,-89.636999999988,-87.228000000003
739,965496000.000000000000,-101.881999999983,-98.317999999970,-89.440999999992,-87.155999999959
740,965498000.000000000000,-101.758999999962,-98.275999999954,-89.820999999996,-87.489999999991
741,965500000.000000000000,-101.768999999971,-98.185000000056,-89.238999999943,-87.555000000051
742,965502000.000000000000,-101.959999999963,-98.207000000053,-90.059000000008,-87.537999999942
743,965504000.000000000000,-101.945999999996,-98.300999999978,-89.209999999963,-87.618999999948
744,965506000.000000000000,-101.967999999993,-98.113999999943,-90.189000000013,-87.572999999975
745,965508000.000000000000,-101.962999999989,-98.008000000031,-89.057000000030,-87.457999999984
746,965510000.000000000000,-101.991000000038,-98.118999999948,-89.028000000049,-87.425999999978
747,965512000.000000000000,-102.079999999958,-98.011000000057,-89.523000000045,-87.555000000051
748,965514000.000000000000,-102.060999999987,-98.037000000011,-90.317000000039,-87.486000000034
749,965516000.000000000000,-101.981999999960,-98.042000000016,-89.400999999954,-87.211000000010
750,965518000.000000000000,-102.060000000056,-98.204000000027,-90.511000000057,-87.175999999978
751,965520000.000000000000,-102.033999999985,-98.361000000034,-89.444999999949,-87.145000000019
752,965522000.000000000000,-101.922000000020,-98.287999999942,-90.403000000049,-86.915000000037
753,965524000.000000000000,-102.028999999980,-98.271999999997,-89.393000000040,-87.003999999957
754,965526000.000000000000,-102.043999999994,-98.190999999992,-89.810000000056,-87.356999999960
755,965528000.000000000000,-102.096999999951,-97.967999999993,-89.498999999953,-87.221000000020
756,965530000.000000000000,-102.069000000018,-97.981999999960,-89.819999999949,-87.072999999975
757,965532000.000000000000,-102.084999999963,-97.993999999948,-89.589999999967,-87.084000000032
758,965534000.000000000000,-102.008000000031,-98.133000000031,-89.609000000055,-87.250000000000
759,965536000.000000000000,-101.878000000026,-98.064999999944,-89.456000000006,-87.077999999980
760,965538000.000000000000,-102.040000000037,-98.212999999989,-90.378000000026,-87.079999999958
761,965540000.000000000000,-102.023999999976,-98.221999999951,-89.538999999990,-87.060999999987
762,965542000.000000000000,-101.895000000019,-98.158999999985,-90.670000000042,-87.030000000028
763,965544000.000000000000,-101.903000000049,-98.189999999944,-89.552000000025,-86.871000000043
764,965546000.000000000000,-101.739999999991,-98.233000000007,-89.680999999982,-86.929000000004
765,965548000.000000000000,-101.680000000051,-98.271999999997,-89.594999999972,-87.145000000019
766,965550000.000000000000,-101.513999999966,-98.228000000003,-90.694000000018,-87.180999999982
767,965552000.000000000000,-101.633000000031,-98.027000000002,-89.560000000056,-87.292999999947
768,965554000.000000000000,-101.410999999964,-98.064999999944,-89.883999999962,-87.412999999942
769,965556000.000000000000,-101.295999999973,-98.076000000001,-89.608000000007,-87.152000000002
770,965558000.000000000000,-101.106999999960,-98.111999999965,-90.388000000035,-86.993000000017
771,965560000.000000000000,-100.998000000021,-98.246000000043,-89.646999999997,-86.851000000024
772,965562000.000000000000,-100.778000000049,-98.393000000040,-90.320999999996,-86.961000000010
773,965564000.000000000000,-100.611000000034,-98.246000000043,-89.351000000024,-87.086000000010
774,965566000.000000000000,-100.376000000047,-98.238999999943,-90.662000000011,-87.060999999987
775,965568000.000000000000,-99.908999999985,-98.251999999979,-89.738000000012,-87.219999999972
776,965570000.000000000000,-99.721000000020,-98.366000000038,-89.618000000017,-87.366999999969
777,965572000.000000000000,-99.516999999993,-98.469999999972,-89.787999999942,-87.315999999992
778,965574000.000000000000,-99.319999999949,-98.226000000024,-90.032000000007,-87.278999999980
779,965576000.000000000000,-98.932999999961,-98.349000000046,-89.817999999970,-87.248000000021
780,965578000.000000000000,-98.523000000045,-98.354000000050,-89.810000000056,-87.175999999978
781,965580000.000000000000,-98.109999999986,-98.288999999990,-89.951000000001,-87.172000000020
782,965582000.000000000000,-97.638000000035,-98.212999999989,-90.630000000005,-86.986999999965
783,965584000.000000000000,-97.503999999957,-98.275000000023,-89.648999999976,-87.199000000022
784,965586000.000000000000,-97.373000000021,-98.160000000033,-89.984999999986,-87.216000000015
785,965588000.000000000000,-96.957000000053,-98.418999999994,-89.758999999962,-87.077999999980
786,965590000.000000000000,-96.809000000008,-98.417000000016,-90.837000000058,-87.027000000002
787,965592000.000000000000,-96.371000000043,-98.412000000011,-89.854999999981,-86.810999999987
788,965594000.000000000000,-96.074000000022,-98.351999999955,-90.807000000030,-86.819000000018
789,965596000.000000000000,-95.770000000019,-98.356999999960,-89.788999999990,-87.047000000020
790,965598000.000000000000,-95.587000000058,-98.324000000022,-90.123999999953,-87.221000000020
791,965600000.000000000000,-95.353000000003,-98.398999999976,-89.586000000010,-87.217999999993
792,965602000.000000000000,-95.185999999987,-98.278999999980,-90.305000000051,-87.128999999957
793,965604000.000000000000,-94.927000000025,-98.356000000029,-89.418999999994,-87.148999999976
794,965606000.000000000000,-94.552999999956,-98.287999999942,-90.212000000058,-86.976000000024
795,965608000.000000000000,-94.349999999977,-98.292999999947,-89.398000000045,-86.993999999948
796,965610000.000000000000,-94.336000000010,-98.287000000011,-89.809000000008,-87.103000000003
797,965612000.000000000000,-94.209000000032,-98.369999999995,-89.690999999992,-87.060999999987
798,965614000.000000000000,-94.055999999982,-98.327999999980,-90.447000000044,-87.054000000004
799,965616000.000000000000,-93.966999999946,-98.388999999966,-89.611000000034,-87.243000000017
800,965618000.000000000000,-93.898999999976,-98.179000000004,-90.513999999966,-87.417000000016
801,965620000.000000000000,-93.773999999976,-98.265000000014,-89.395999999950,-87.491999999969
802,965622000.000000000000,-93.675000000047,-98.256999999983,-90.675999999978,-87.364999999991
803,965624000.000000000000,-93.503000000026,-98.241999999969,-89.346000000020,-87.319999999949
804,965626000.000000000000,-93.248000000021,-98.206000000006,-90.359999999986,-87.486000000034
805,965628000.000000000000,-93.248000000021,-98.288999999990,-89.484999999986,-87.557000000030
806,965630000.000000000000,-93.221000000020,-98.184000000008,-90.920999999973,-87.491000000038
807,965632000.000000000000,-93.467999999993,-98.201000000001,-89.631000000052,-87.363999999943
808,965634000.000000000000,-93.402000000002,-98.320999999996,-90.500000000000,-87.353000000003
809,965636000.000000000000,-93.376999999979,-98.158000000054,-89.768999999971,-87.226999999955
810,965638000.000000000000,-93.185999999987,-98.314000000013,-90.570999999996,-87.243999999948
811,965640000.000000000000,-93.182000000030,-98.398000000045,-89.738999999943,-87.393000000040
812,965642000.000000000000,-93.067999999970,-98.131000000052,-90.158000000054,-87.216999999946
813,965644000.000000000000,-93.057999999961,-97.861999999965,-89.457999999984,-87.170999999973
814,965646000.000000000000,-93.202999999980,-97.986999999965,-89.677999999956,-87.185000000056
815,965648000.000000000000,-93.312999999966,-98.023999999976,-89.488999999943,-87.121999999974
816,965650000.000000000000,-93.324999999953,-97.935999999987,-89.597999999998,-87.074999999953
817,965652000.000000000000,-93.143999999971,-98.018000000040,-89.724000000046,-86.937999999966
818,965654000.000000000000,-93.182000000030,-98.202000000048,-90.501999999979,-87.118000000017
819,965656000.000000000000,-93.148999999976,-98.165000000037,-89.758999999962,-87.243000000017
820,965658000.000000000000,-93.165000000037,-98.148999999976,-90.618000000017,-87.042000000016
821,965660000.000000000000,-93.086000000010,-97.910000000033,-89.687000000034,-86.810999999987
822,965662000.000000000000,-93.202000000048,-97.996000000043,-90.508000000031,-86.841000000015
823,965664000.000000000000,-93.172999999952,-98.072000000044,-89.714999999967,-86.886999999988
824,965666000.000000000000,-93.062000000034,-98.187999999966,-89.800000000047,-86.900000000023
825,965668000.000000000000,-93.099000000046,-98.214999999967,-89.503999999957,-86.979999999981
826,965670000.000000000000,-93.219999999972,-98.048999999999,-89.576000000001,-87.138000000035
827,965672000.000000000000,-93.268999999971,-98.121999999974,-89.777000000002,-86.991999999969
828,965674000.000000000000,-93.209999999963,-98.177999999956,-90.765000000014,-87.006999999983
829,965676000.000000000000,-93.045999999973,-98.162000000011,-89.981000000029,-87.023999999976
830,965678000.000000000000,-93.094999999972,-98.010000000009,-89.812999999966,-86.969999999972
