"SoftPlot +Plus+ Measurement Management Software"
"Start", 9.640200000000000E+0008
"Stop", 9.680200000000000E+0008
"Points",2001
"Point","X-Axis (Hz)","West of Telstar 11N (dBm)","Telstar 11N (dBm)","East of Telstar 11N (dBm)","Signal Generator at 11504.02MHz into LNBF (dBm)"
76,964170000.000000000000,-99.932000000030,-95.037999999942,-89.895999999950,-87.101999999955
77,964172000.000000000000,-100.091000000015,-94.361999999965,-90.050999999978,-87.114999999991
78,964174000.000000000000,-100.194999999949,-94.126999999979,-90.067999999970,-87.263999999966
79,964176000.000000000000,-100.047999999952,-93.782000000007,-90.271999999997,-87.405999999959
80,964178000.000000000000,-99.917000000016,-93.601999999955,-90.216000000015,-87.226999999955
81,964180000.000000000000,-100.207999999984,-93.194000000018,-90.378999999957,-87.238999999943
82,964182000.000000000000,-100.027000000002,-93.054000000004,-90.356999999960,-87.170999999973
83,964184000.000000000000,-100.030999999959,-92.962999999989,-90.327999999980,-87.207000000053
84,964186000.000000000000,-100.042999999947,-92.702000000048,-90.263999999966,-87.158999999985
85,964188000.000000000000,-100.052999999956,-92.548999999999,-90.054000000004,-87.158000000054
86,964190000.000000000000,-99.792000000016,-92.385000000009,-90.092999999993,-87.184000000008
87,964192000.000000000000,-100.023000000045,-92.207999999984,-90.060000000056,-86.991999999969
88,964194000.000000000000,-100.177000000025,-92.170000000042,-89.922000000020,-87.042000000016
89,964196000.000000000000,-100.005000000005,-92.209999999963,-89.920999999973,-87.057000000030
90,964198000.000000000000,-99.898999999976,-92.157000000007,-90.121000000043,-86.898999999976
91,964200000.000000000000,-99.908000000054,-92.077000000048,-90.236999999965,-86.824000000022
92,964202000.000000000000,-99.851000000024,-91.989999999991,-90.094999999972,-86.927999999956
93,964204000.000000000000,-99.873999999953,-91.790000000037,-89.993000000017,-87.234999999986
94,964206000.000000000000,-99.778000000049,-91.744999999995,-90.148999999976,-87.241999999969
95,964208000.000000000000,-99.898999999976,-91.712999999989,-90.160999999964,-87.118999999948
96,964210000.000000000000,-99.699999999953,-91.824999999953,-90.231999999960,-86.949999999953
97,964212000.000000000000,-99.631000000052,-91.667000000016,-90.287000000011,-86.726999999955
98,964214000.000000000000,-99.917000000016,-91.677000000025,-90.187999999966,-86.569999999949
99,964216000.000000000000,-100.006999999983,-91.684000000008,-90.182999999961,-86.780999999959
100,964218000.000000000000,-100.016999999993,-91.780000000028,-90.219999999972,-86.898000000045
101,964220000.000000000000,-100.067999999970,-91.771999999997,-90.283999999985,-86.832999999984
102,964222000.000000000000,-100.055000000051,-91.761000000057,-90.163999999990,-86.903000000049
103,964224000.000000000000,-100.057000000030,-91.898999999976,-90.045000000042,-86.998000000021
104,964226000.000000000000,-100.045000000042,-91.925999999978,-90.023999999976,-87.101999999955
105,964228000.000000000000,-100.160999999964,-91.949000000022,-90.195999999996,-87.305000000051
106,964230000.000000000000,-100.160999999964,-92.035000000033,-89.910000000033,-87.484999999986
107,964232000.000000000000,-99.940999999992,-92.079000000027,-89.915000000037,-87.449999999953
108,964234000.000000000000,-99.993999999948,-92.050999999978,-90.028999999980,-87.364999999991
109,964236000.000000000000,-100.160000000033,-92.033000000054,-89.947999999975,-87.403999999980
110,964238000.000000000000,-100.106999999960,-92.084000000032,-90.000000000000,-87.280999999959
111,964240000.000000000000,-99.957999999984,-92.057000000030,-90.048999999999,-87.386000000057
112,964242000.000000000000,-99.873000000021,-92.079999999958,-90.006000000052,-87.425000000047
113,964244000.000000000000,-99.927999999956,-91.951000000001,-90.040999999968,-87.545999999973
114,964246000.000000000000,-99.778999999980,-91.844999999972,-90.055000000051,-87.472999999998
115,964248000.000000000000,-99.841000000015,-91.773999999976,-90.097999999998,-87.317999999970
116,964250000.000000000000,-99.587000000058,-91.716000000015,-89.976000000024,-87.069999999949
117,964252000.000000000000,-99.679000000004,-91.758000000031,-89.983000000007,-87.089000000036
118,964254000.000000000000,-99.653999999980,-91.925999999978,-89.988999999943,-87.162000000011
119,964256000.000000000000,-99.822000000044,-91.885000000009,-90.003000000026,-86.947999999975
120,964258000.000000000000,-99.785999999964,-91.925000000047,-89.929000000004,-86.881000000052
121,964260000.000000000000,-99.883999999962,-91.986999999965,-89.922000000020,-86.967999999993
122,964262000.000000000000,-100.030000000028,-91.875000000000,-89.849000000046,-87.143999999971
123,964264000.000000000000,-100.011999999988,-91.944999999949,-90.052999999956,-87.040000000037
124,964266000.000000000000,-100.168999999994,-91.858000000007,-90.207999999984,-87.118999999948
125,964268000.000000000000,-100.099000000046,-91.822000000044,-90.116000000038,-87.035000000033
126,964270000.000000000000,-100.194999999949,-91.846999999951,-90.119999999995,-86.942000000039
127,964272000.000000000000,-100.057000000030,-91.802000000025,-90.003000000026,-86.898000000045
128,964274000.000000000000,-99.910000000033,-91.827999999980,-90.027000000002,-86.932000000030
129,964276000.000000000000,-99.920999999973,-91.864999999991,-89.972999999998,-86.915000000037
130,964278000.000000000000,-99.967999999993,-91.854999999981,-89.881000000052,-87.148000000045
131,964280000.000000000000,-99.930000000051,-91.900999999954,-89.839999999967,-87.192000000039
132,964282000.000000000000,-99.934000000008,-91.783000000054,-89.706000000006,-87.207999999984
133,964284000.000000000000,-99.859000000055,-91.817999999970,-89.486000000034,-87.136999999988
134,964286000.000000000000,-99.824999999953,-91.795999999973,-89.488999999943,-87.118000000017
135,964288000.000000000000,-99.927000000025,-91.920999999973,-89.576000000001,-87.298999999999
136,964290000.000000000000,-99.964999999967,-91.939000000013,-89.849999999977,-87.168999999994
137,964292000.000000000000,-99.925999999978,-91.871000000043,-90.001999999979,-87.150999999954
138,964294000.000000000000,-99.675999999978,-91.777000000002,-90.141999999993,-87.143999999971
139,964296000.000000000000,-99.734999999986,-91.812999999966,-90.082000000053,-87.025000000023
140,964298000.000000000000,-100.025000000023,-91.891999999993,-90.082000000053,-86.822000000044
141,964300000.000000000000,-99.907000000007,-92.011999999988,-90.045000000042,-86.812999999966
142,964302000.000000000000,-99.907000000007,-91.969000000041,-89.881000000052,-87.087999999989
143,964304000.000000000000,-99.896999999997,-92.087000000058,-89.775999999954,-86.984999999986
144,964306000.000000000000,-99.802000000025,-92.143999999971,-89.770999999950,-87.087999999989
145,964308000.000000000000,-99.748999999953,-92.091000000015,-89.895999999950,-87.062000000034
146,964310000.000000000000,-99.962000000058,-92.116999999969,-89.915999999968,-87.145000000019
147,964312000.000000000000,-99.777000000002,-91.981000000029,-89.824000000022,-87.229999999981
148,964314000.000000000000,-99.712999999989,-91.934000000008,-89.714999999967,-87.172000000020
149,964316000.000000000000,-99.844999999972,-91.937999999966,-89.910999999964,-87.192999999970
150,964318000.000000000000,-99.930000000051,-91.902000000002,-89.827000000048,-87.182000000030
151,964320000.000000000000,-99.873000000021,-91.854999999981,-89.839000000036,-87.099999999977
152,964322000.000000000000,-99.820999999996,-91.964999999967,-89.819000000018,-87.141999999993
153,964324000.000000000000,-99.773999999976,-92.028999999980,-89.937000000034,-87.292000000016
154,964326000.000000000000,-99.795000000042,-92.192000000039,-89.964000000036,-87.326000000001
155,964328000.000000000000,-99.814999999944,-92.378999999957,-89.832999999984,-87.310000000056
156,964330000.000000000000,-99.939999999944,-92.500000000000,-89.814999999944,-87.216999999946
157,964332000.000000000000,-99.577000000048,-92.574000000022,-89.810999999987,-87.202000000048
158,964334000.000000000000,-99.699000000022,-92.790000000037,-89.956000000006,-87.128999999957
159,964336000.000000000000,-99.739999999991,-93.069000000018,-90.033999999985,-87.074000000022
160,964338000.000000000000,-99.780000000028,-93.194000000018,-89.888999999966,-87.069000000018
161,964340000.000000000000,-99.929000000004,-93.369999999995,-89.903999999980,-87.172999999952
162,964342000.000000000000,-99.809000000008,-93.579000000027,-90.028999999980,-87.271999999997
163,964344000.000000000000,-99.920000000042,-94.094999999972,-90.167999999947,-87.244999999995
164,964346000.000000000000,-99.932999999961,-94.510000000009,-90.187999999966,-87.310000000056
165,964348000.000000000000,-99.768000000040,-95.057999999961,-89.998999999953,-87.320999999996
166,964350000.000000000000,-99.758000000031,-95.576000000001,-89.981000000029,-87.209000000032
167,964352000.000000000000,-99.935999999987,-96.025999999954,-90.226999999955,-87.314999999944
168,964354000.000000000000,-99.837999999989,-96.701000000001,-90.233000000007,-87.221999999951
169,964356000.000000000000,-99.729000000050,-97.224999999977,-90.158999999985,-87.233000000007
170,964358000.000000000000,-99.937999999966,-97.496999999974,-90.131000000052,-87.202999999980
171,964360000.000000000000,-99.854000000050,-98.273999999976,-90.140000000014,-87.140000000014
172,964362000.000000000000,-100.030000000028,-98.890999999945,-90.168999999994,-87.096000000020
173,964364000.000000000000,-99.939000000013,-99.008000000031,-90.089999999967,-86.981000000029
174,964366000.000000000000,-99.986999999965,-99.390000000014,-90.038999999990,-86.954999999958
175,964368000.000000000000,-99.765999999945,-99.658000000054,-90.065999999992,-87.258999999962
176,964370000.000000000000,-99.790000000037,-99.893999999971,-89.981999999960,-87.207000000053
177,964372000.000000000000,-99.929000000004,-99.890000000014,-90.023999999976,-87.211000000010
178,964374000.000000000000,-99.964000000036,-99.917999999947,-90.185999999987,-87.104999999981
179,964376000.000000000000,-99.717999999993,-99.633999999962,-90.018999999971,-87.109999999986
180,964378000.000000000000,-99.812000000034,-99.331000000006,-89.957000000053,-87.136000000057
181,964380000.000000000000,-99.820999999996,-98.609000000055,-89.900000000023,-87.033000000054
182,964382000.000000000000,-99.707000000053,-98.623000000021,-89.719999999972,-86.935999999987
183,964384000.000000000000,-99.804000000004,-97.341000000015,-89.800000000047,-86.913999999990
184,964386000.000000000000,-99.606000000029,-96.685000000056,-90.047000000020,-86.851999999955
185,964388000.000000000000,-99.628000000026,-96.217999999993,-89.952000000048,-86.969999999972
186,964390000.000000000000,-99.876999999979,-95.398999999976,-89.655999999959,-86.912000000011
187,964392000.000000000000,-99.861999999965,-94.959000000032,-89.567000000039,-86.989999999991
188,964394000.000000000000,-99.609000000055,-94.525000000023,-89.513000000035,-86.940999999992
189,964396000.000000000000,-99.738999999943,-94.229000000050,-89.552000000025,-86.856999999960
190,964398000.000000000000,-99.834999999963,-93.574999999953,-89.947000000044,-86.861999999965
191,964400000.000000000000,-99.790000000037,-93.381999999983,-89.971000000020,-86.989999999991
192,964402000.000000000000,-99.773000000045,-93.222999999998,-89.807999999961,-87.043999999994
193,964404000.000000000000,-99.881000000052,-92.905000000028,-89.790000000037,-87.116999999969
194,964406000.000000000000,-99.628999999957,-92.780000000028,-89.783999999985,-87.114999999991
195,964408000.000000000000,-99.643999999971,-92.584000000032,-89.797999999952,-86.962999999989
196,964410000.000000000000,-99.841999999946,-92.300999999978,-89.962000000058,-87.114999999991
197,964412000.000000000000,-99.991000000038,-92.015000000014,-90.094999999972,-86.989999999991
198,964414000.000000000000,-100.229999999981,-92.035000000033,-90.158999999985,-86.925000000047
199,964416000.000000000000,-100.084999999963,-92.028999999980,-90.194999999949,-86.814999999944
200,964418000.000000000000,-100.074000000022,-91.881999999983,-90.099999999977,-86.650999999954
201,964420000.000000000000,-100.248000000021,-91.859000000055,-89.969999999972,-86.810000000056
202,964422000.000000000000,-100.177000000025,-91.881000000052,-89.964999999967,-87.133000000031
203,964424000.000000000000,-99.996999999974,-91.748999999953,-89.930999999982,-87.131999999983
204,964426000.000000000000,-99.824000000022,-91.677000000025,-89.770000000019,-87.037000000011
205,964428000.000000000000,-99.883000000031,-91.761000000057,-89.717999999993,-87.150000000023
206,964430000.000000000000,-99.807999999961,-92.035999999964,-89.643999999971,-87.030999999959
207,964432000.000000000000,-99.881999999983,-91.981999999960,-89.802000000025,-86.866000000038
208,964434000.000000000000,-99.824999999953,-91.993000000017,-89.814000000013,-86.858000000007
209,964436000.000000000000,-99.809000000008,-92.028999999980,-89.827999999980,-86.935999999987
210,964438000.000000000000,-99.756999999983,-92.226000000024,-89.655999999959,-86.797999999952
211,964440000.000000000000,-99.853000000003,-92.130000000005,-89.805000000051,-87.011999999988
212,964442000.000000000000,-99.846999999951,-92.148000000045,-89.883999999962,-86.937999999966
213,964444000.000000000000,-99.937000000034,-92.111999999965,-89.937000000034,-87.148000000045
214,964446000.000000000000,-99.819999999949,-92.280000000028,-89.930999999982,-87.160999999964
215,964448000.000000000000,-99.861999999965,-92.202999999980,-90.089999999967,-87.089999999967
216,964450000.000000000000,-100.177999999956,-92.140000000014,-90.072999999975,-87.042000000016
217,964452000.000000000000,-99.927999999956,-92.148999999976,-90.037999999942,-86.930999999982
218,964454000.000000000000,-99.775999999954,-92.226000000024,-89.746000000043,-87.003000000026
219,964456000.000000000000,-99.827999999980,-92.202999999980,-89.520000000019,-87.060000000056
220,964458000.000000000000,-100.059000000008,-92.097999999998,-89.380000000005,-87.087999999989
221,964460000.000000000000,-100.005000000005,-91.907000000007,-89.530000000028,-87.099000000046
222,964462000.000000000000,-100.008999999962,-91.895999999950,-89.650999999954,-86.976999999955
223,964464000.000000000000,-99.981000000029,-91.873000000021,-89.810000000056,-86.917999999947
224,964466000.000000000000,-99.929000000004,-91.900999999954,-89.736999999965,-86.996000000043
225,964468000.000000000000,-100.099999999977,-91.932999999961,-89.912999999942,-87.125000000000
226,964470000.000000000000,-99.991999999969,-91.832000000053,-89.951000000001,-87.459000000032
227,964472000.000000000000,-99.972999999998,-91.876000000047,-89.905000000028,-87.087999999989
228,964474000.000000000000,-99.912999999942,-92.050000000047,-89.954999999958,-87.199000000022
229,964476000.000000000000,-99.920000000042,-92.003999999957,-90.042000000016,-86.971000000020
230,964478000.000000000000,-99.979999999981,-92.023999999976,-90.275999999954,-87.028000000049
231,964480000.000000000000,-99.942000000039,-92.077000000048,-90.277000000002,-86.983000000007
232,964482000.000000000000,-99.702999999980,-92.006000000052,-90.057999999961,-87.168999999994
233,964484000.000000000000,-99.662000000011,-91.991000000038,-89.959999999963,-87.337000000058
234,964486000.000000000000,-99.847999999998,-91.981000000029,-89.638000000035,-87.478000000003
235,964488000.000000000000,-100.003999999957,-91.915000000037,-89.597999999998,-87.363000000012
236,964490000.000000000000,-100.089999999967,-91.854000000050,-89.738000000012,-87.366999999969
237,964492000.000000000000,-100.180999999982,-91.873000000021,-89.650999999954,-87.172999999952
238,964494000.000000000000,-100.216999999946,-91.961000000010,-89.790000000037,-87.243000000017
239,964496000.000000000000,-100.173999999999,-92.011999999988,-89.770999999950,-87.234000000055
240,964498000.000000000000,-100.001000000047,-91.952999999980,-89.871999999974,-86.940999999992
241,964500000.000000000000,-100.001000000047,-91.817999999970,-89.917999999947,-87.092999999993
242,964502000.000000000000,-100.234000000055,-91.795999999973,-90.060999999987,-86.947000000044
243,964504000.000000000000,-100.285999999964,-91.827000000048,-90.000000000000,-86.920000000042
244,964506000.000000000000,-100.315999999992,-91.932000000030,-89.898999999976,-86.949000000022
245,964508000.000000000000,-100.506999999983,-92.030000000028,-89.753999999957,-86.947000000044
246,964510000.000000000000,-100.535999999964,-92.003999999957,-89.822000000044,-86.969999999972
247,964512000.000000000000,-100.648000000045,-91.886000000057,-89.790000000037,-87.190999999992
248,964514000.000000000000,-100.462999999989,-91.917999999947,-89.962000000058,-87.082999999984
249,964516000.000000000000,-100.530000000028,-91.827000000048,-90.091000000015,-87.079000000027
250,964518000.000000000000,-100.778000000049,-92.011000000057,-90.065999999992,-87.126000000047
251,964520000.000000000000,-100.673999999999,-92.057000000030,-89.572000000044,-87.054000000004
252,964522000.000000000000,-100.641999999993,-92.077000000048,-89.567000000039,-87.042000000016
253,964524000.000000000000,-100.792999999947,-92.082999999984,-89.655999999959,-86.944999999949
254,964526000.000000000000,-100.756000000052,-92.153000000049,-89.802999999956,-86.964999999967
255,964528000.000000000000,-100.863999999943,-92.197000000044,-90.060999999987,-86.974999999977
256,964530000.000000000000,-101.020999999950,-92.275999999954,-90.047999999952,-87.175000000047
257,964532000.000000000000,-101.091000000015,-92.537000000011,-90.092999999993,-87.304000000004
258,964534000.000000000000,-101.167000000016,-92.851000000024,-89.954000000027,-87.179000000004
259,964536000.000000000000,-101.229000000050,-93.069000000018,-89.989999999991,-87.101000000024
260,964538000.000000000000,-101.324999999953,-93.332999999984,-89.891999999993,-87.086000000010
261,964540000.000000000000,-101.474999999977,-93.805999999982,-89.819999999949,-87.212000000058
262,964542000.000000000000,-101.467999999993,-94.231000000029,-89.787000000011,-87.290999999968
263,964544000.000000000000,-101.554000000004,-94.814999999944,-89.719999999972,-87.405999999959
264,964546000.000000000000,-101.437000000034,-95.314000000013,-89.863000000012,-87.268000000040
265,964548000.000000000000,-101.444999999949,-95.837999999989,-89.851999999955,-87.173999999999
266,964550000.000000000000,-101.560999999987,-96.381999999983,-89.768999999971,-87.160999999964
267,964552000.000000000000,-101.582999999984,-96.922999999952,-89.837000000058,-87.297000000020
268,964554000.000000000000,-101.562999999966,-97.763999999966,-89.972999999998,-87.417000000016
269,964556000.000000000000,-101.592999999993,-98.413999999990,-89.831000000006,-87.273000000045
270,964558000.000000000000,-101.467999999993,-98.694999999949,-90.001999999979,-87.025000000023
271,964560000.000000000000,-101.662000000011,-99.353000000003,-90.180999999982,-87.001000000047
272,964562000.000000000000,-101.763999999966,-99.847999999998,-90.045999999973,-86.962999999989
273,964564000.000000000000,-101.675999999978,-100.136999999988,-90.260000000009,-87.125000000000
274,964566000.000000000000,-101.658999999985,-100.449999999953,-90.128999999957,-87.126999999979
275,964568000.000000000000,-101.834000000032,-100.511000000057,-90.168999999994,-87.116000000038
276,964570000.000000000000,-101.891999999993,-100.714000000036,-89.971000000020,-86.934000000008
277,964572000.000000000000,-102.025000000023,-101.047999999952,-89.758000000031,-86.861999999965
278,964574000.000000000000,-101.934000000008,-100.944000000018,-89.826000000001,-86.939000000013
279,964576000.000000000000,-101.902000000002,-100.880000000005,-89.792999999947,-87.040000000037
280,964578000.000000000000,-102.003999999957,-100.886000000057,-89.763000000035,-87.081000000006
281,964580000.000000000000,-101.991999999969,-100.863000000012,-89.883999999962,-87.064000000013
282,964582000.000000000000,-101.922999999952,-100.952000000048,-89.961000000010,-86.993999999948
283,964584000.000000000000,-101.996999999974,-101.062999999966,-90.005000000005,-87.003000000026
284,964586000.000000000000,-101.873999999953,-100.988999999943,-90.165000000037,-87.074999999953
285,964588000.000000000000,-101.932000000030,-100.824999999953,-90.366999999969,-87.150999999954
286,964590000.000000000000,-102.023000000045,-100.704999999958,-90.314999999944,-87.214999999967
287,964592000.000000000000,-102.037000000011,-100.746999999974,-90.378000000026,-87.143000000040
288,964594000.000000000000,-101.846000000020,-100.842999999993,-90.258000000031,-87.133000000031
289,964596000.000000000000,-101.896999999997,-100.905000000028,-90.136999999988,-87.177999999956
290,964598000.000000000000,-101.940999999992,-100.820999999996,-90.020000000019,-87.067999999970
291,964600000.000000000000,-102.096999999951,-100.778999999980,-89.935000000056,-87.116999999969
292,964602000.000000000000,-102.091000000015,-100.712999999989,-89.650000000023,-87.146999999997
293,964604000.000000000000,-102.013999999966,-100.839999999967,-89.400000000023,-87.248000000021
294,964606000.000000000000,-101.947000000044,-100.792999999947,-89.219000000041,-87.202000000048
295,964608000.000000000000,-102.131999999983,-100.974999999977,-89.359999999986,-87.422999999952
296,964610000.000000000000,-102.082000000053,-100.951000000001,-89.670999999973,-87.390000000014
297,964612000.000000000000,-102.062000000034,-101.028999999980,-89.753999999957,-87.378999999957
298,964614000.000000000000,-102.060000000056,-100.957000000053,-90.028000000049,-87.300999999978
299,964616000.000000000000,-102.099999999977,-100.883000000031,-90.241000000038,-87.280999999959
300,964618000.000000000000,-102.106999999960,-100.812000000034,-90.194999999949,-87.273999999976
301,964620000.000000000000,-101.981999999960,-100.770000000019,-90.383999999962,-87.304000000004
302,964622000.000000000000,-101.876000000047,-100.731000000029,-90.403999999980,-87.334999999963
303,964624000.000000000000,-101.847999999998,-100.660999999964,-90.187000000034,-87.226000000024
304,964626000.000000000000,-102.000000000000,-100.682999999961,-90.082000000053,-87.148000000045
305,964628000.000000000000,-101.863000000012,-100.812999999966,-89.876999999979,-86.981000000029
306,964630000.000000000000,-101.915000000037,-100.545000000042,-89.706000000006,-86.967999999993
307,964632000.000000000000,-101.814999999944,-100.437000000034,-89.768999999971,-87.011000000057
308,964634000.000000000000,-101.724000000046,-100.658999999985,-89.744999999995,-86.964000000036
309,964636000.000000000000,-101.643999999971,-100.814000000013,-89.633000000031,-86.991999999969
310,964638000.000000000000,-101.613999999943,-100.687000000034,-89.559000000008,-87.045000000042
311,964640000.000000000000,-101.716000000015,-100.778999999980,-89.545000000042,-87.062000000034
312,964642000.000000000000,-101.714000000036,-100.871999999974,-89.506000000052,-87.042999999947
313,964644000.000000000000,-101.667999999947,-100.947000000044,-89.609000000055,-87.138000000035
314,964646000.000000000000,-101.390000000014,-100.893000000040,-89.930999999982,-87.128000000026
315,964648000.000000000000,-101.432999999961,-100.625000000000,-90.231999999960,-87.145000000019
