"BlockSat v2 European Region"
"Start", 1.083300000000000E+0009
"Stop", 1.085300000000000E+0009
"Points",601
"Point","X-Axis (Hz)","West of Telstar 11N (wrong sat) (dBm)","Telstar 11N (dBm)"
1,1083300000.000000000000,-71.937999999966,-83.383000000031
2,1083303333.333984380000,-72.130000000005,-83.986000000034
3,1083306666.666015620000,-72.153999999980,-82.952000000048
4,1083310000.000000000000,-72.648000000045,-83.518000000040
5,1083313333.333984380000,-72.077999999980,-82.670999999973
6,1083316666.666015620000,-72.152000000002,-83.989999999991
7,1083320000.000000000000,-72.030000000028,-83.309000000008
8,1083323333.333984370000,-72.763000000035,-83.319999999949
9,1083326666.666015620000,-72.153000000049,-83.508999999962
10,1083330000.000000000000,-72.418999999994,-83.569000000018
11,1083333333.333984380000,-72.145000000019,-83.317000000039
12,1083336666.666015620000,-72.741000000038,-83.444000000018
13,1083340000.000000000000,-72.094000000041,-83.101000000024
14,1083343333.333984380000,-72.076000000001,-83.207999999984
15,1083346666.666015630000,-71.925000000047,-83.324000000022
16,1083350000.000000000000,-72.042999999947,-83.535999999964
17,1083353333.333984380000,-71.707000000053,-82.939000000013
18,1083356666.666015620000,-72.552999999956,-83.162999999942
19,1083360000.000000000000,-71.773000000045,-83.613999999943
20,1083363333.333984370000,-71.981000000029,-83.344000000041
21,1083366666.666015620000,-72.145999999950,-83.314999999944
22,1083370000.000000000000,-72.582000000053,-83.652000000002
23,1083373333.333984380000,-72.439000000013,-82.753999999957
24,1083376666.666015620000,-72.944000000018,-82.939999999944
25,1083380000.000000000000,-71.788999999990,-83.238000000012
26,1083383333.333984380000,-72.092999999993,-83.417999999947
27,1083386666.666015630000,-71.976000000024,-83.510000000009
28,1083390000.000000000000,-72.648999999976,-83.266999999993
29,1083393333.333984380000,-71.773999999976,-83.494999999995
30,1083396666.666015620000,-72.429000000004,-83.241999999969
31,1083400000.000000000000,-71.883999999962,-83.109999999986
32,1083403333.333984370000,-72.478000000003,-83.643999999971
33,1083406666.666015620000,-71.822999999975,-83.065999999992
34,1083410000.000000000000,-71.939999999944,-83.662999999942
35,1083413333.333984380000,-71.657000000007,-83.489999999991
36,1083416666.666015620000,-72.555000000051,-83.280999999959
37,1083420000.000000000000,-72.180000000051,-83.631999999983
38,1083423333.333984380000,-72.560000000056,-83.802999999956
39,1083426666.666015630000,-71.726000000024,-83.052000000025
40,1083430000.000000000000,-72.761000000057,-83.756000000052
41,1083433333.333984380000,-72.065999999992,-82.831000000006
42,1083436666.666015620000,-71.991999999969,-83.636999999988
43,1083440000.000000000000,-72.282000000007,-82.981999999960
44,1083443333.333984380000,-72.420000000042,-82.993999999948
45,1083446666.666015620000,-72.437000000034,-83.251999999979
46,1083450000.000000000000,-72.604000000050,-83.625000000000
47,1083453333.333984380000,-71.824000000022,-82.756000000052
48,1083456666.666015620000,-72.016999999993,-83.042999999947
49,1083460000.000000000000,-72.217999999993,-83.153000000049
50,1083463333.333984380000,-72.067000000039,-83.766999999993
51,1083466666.666015630000,-72.092999999993,-83.003000000026
52,1083470000.000000000000,-72.201000000001,-83.444000000018
53,1083473333.333984380000,-72.050999999978,-82.641999999993
54,1083476666.666015620000,-72.268999999971,-83.096000000020
55,1083480000.000000000000,-71.996000000043,-83.065999999992
56,1083483333.333984380000,-72.804000000004,-83.516999999993
57,1083486666.666015620000,-72.045999999973,-83.082999999984
58,1083490000.000000000000,-72.780000000028,-83.891999999993
59,1083493333.333984380000,-72.172999999952,-82.961000000010
60,1083496666.666015620000,-72.959000000032,-83.113000000012
61,1083500000.000000000000,-72.300000000047,-83.300000000047
62,1083503333.333984380000,-73.010000000009,-83.462000000058
63,1083506666.666015630000,-72.423999999999,-82.886000000057
64,1083510000.000000000000,-72.680000000051,-83.189000000013
65,1083513333.333984380000,-71.812999999966,-83.356999999960
66,1083516666.666015620000,-73.050999999978,-83.956000000006
67,1083520000.000000000000,-71.837000000058,-83.086000000010
68,1083523333.333984380000,-72.270000000019,-83.376999999979
69,1083526666.666015620000,-72.481999999960,-83.391999999993
70,1083530000.000000000000,-72.403000000049,-84.020999999950
71,1083533333.333984380000,-72.361000000034,-83.241999999969
72,1083536666.666015620000,-72.072000000044,-83.050999999978
73,1083540000.000000000000,-72.341999999946,-83.395000000019
74,1083543333.333984380000,-72.214999999967,-83.863000000012
75,1083546666.666015620000,-72.138999999966,-83.121000000043
76,1083550000.000000000000,-72.123000000021,-83.180999999982
77,1083553333.333984380000,-72.138999999966,-83.099999999977
78,1083556666.666015620000,-72.817000000039,-82.908999999985
79,1083560000.000000000000,-72.089000000036,-83.015999999945
