"BlockSat v2 European Region"
"Start", 1.082300000000000E+0009
"Stop", 1.086300000000000E+0009
"Points",601
"Point","X-Axis (Hz)","West of Telstar 11N (wrong sat) (dBm)","Telstar 11N (dBm)"
1,1082300000.000000000000,-79.709000000032,-75.625000000000
2,1082306666.666015620000,-80.560999999987,-76.228000000003
3,1082313333.333984380000,-79.655999999959,-75.858000000007
4,1082320000.000000000000,-80.645999999950,-76.579000000027
5,1082326666.666015620000,-79.604000000050,-75.969999999972
6,1082333333.333984370000,-80.560000000056,-76.667000000016
7,1082340000.000000000000,-79.878000000026,-75.927000000025
8,1082346666.666015620000,-80.675000000047,-76.594000000041
9,1082353333.333984380000,-79.935999999987,-76.028999999980
10,1082360000.000000000000,-80.902000000002,-75.983000000007
11,1082366666.666015620000,-79.672999999952,-76.246000000043
12,1082373333.333984370000,-80.771999999997,-76.962999999989
13,1082380000.000000000000,-79.780000000028,-76.096000000020
14,1082386666.666015620000,-80.523999999976,-77.099000000046
15,1082393333.333984380000,-79.469999999972,-76.273000000045
16,1082400000.000000000000,-80.282000000007,-77.030000000028
17,1082406666.666015620000,-79.628000000026,-76.246000000043
18,1082413333.333984370000,-80.542999999947,-76.944999999949
19,1082420000.000000000000,-79.822000000044,-76.187000000034
20,1082426666.666015620000,-80.439000000013,-77.462999999989
21,1082433333.333984380000,-79.608000000007,-76.464999999967
22,1082440000.000000000000,-80.613999999943,-77.364999999991
23,1082446666.666015620000,-79.650000000023,-76.636999999988
24,1082453333.333984370000,-81.003999999957,-77.412999999942
25,1082460000.000000000000,-79.339000000036,-76.586000000010
26,1082466666.666015620000,-80.305999999982,-77.111000000034
27,1082473333.333984380000,-79.643999999971,-76.474000000046
28,1082480000.000000000000,-80.476000000024,-77.746999999974
29,1082486666.666015620000,-79.476999999955,-76.829000000027
30,1082493333.333984370000,-80.361000000034,-77.814000000013
31,1082500000.000000000000,-79.552000000025,-77.005000000005
32,1082506666.666015620000,-80.981000000029,-77.841999999946
33,1082513333.333984380000,-79.564999999944,-76.981000000029
34,1082520000.000000000000,-80.246000000043,-77.648999999976
35,1082526666.666015620000,-79.486000000034,-76.952000000048
36,1082533333.333984380000,-80.385000000009,-78.094999999972
37,1082540000.000000000000,-79.761999999988,-77.381000000052
38,1082546666.666015620000,-80.625000000000,-77.751999999979
39,1082553333.333984380000,-79.609000000055,-76.920000000042
40,1082560000.000000000000,-80.542000000016,-78.358000000007
41,1082566666.666015620000,-79.792999999947,-77.364999999991
42,1082573333.333984380000,-80.807000000030,-77.731999999960
43,1082580000.000000000000,-79.804000000004,-77.734999999986
44,1082586666.666015620000,-80.790999999968,-78.859999999986
45,1082593333.333984380000,-79.949000000022,-77.462000000058
46,1082600000.000000000000,-80.662000000011,-78.293999999994
47,1082606666.666015620000,-79.804000000004,-77.263000000035
48,1082613333.333984380000,-80.564999999944,-78.432000000030
49,1082620000.000000000000,-79.564999999944,-77.746999999974
50,1082626666.666015620000,-79.797999999952,-78.337999999989
51,1082633333.333984380000,-79.800000000047,-77.623000000021
52,1082640000.000000000000,-80.640999999945,-78.854999999981
53,1082646666.666015620000,-79.738999999943,-78.077000000048
54,1082653333.333984380000,-80.692000000039,-78.881999999983
55,1082660000.000000000000,-80.028999999980,-77.929000000004
56,1082666666.666015620000,-80.913999999990,-78.998999999953
57,1082673333.333984380000,-80.104000000050,-78.366999999969
58,1082680000.000000000000,-81.761999999988,-79.398999999976
59,1082686666.666015620000,-80.706000000006,-78.491000000038
60,1082693333.333984380000,-81.302999999956,-79.344999999972
61,1082700000.000000000000,-80.626000000047,-78.592999999993
62,1082706666.666015620000,-81.863000000012,-78.944999999949
63,1082713333.333984380000,-80.910000000033,-78.912999999942
64,1082720000.000000000000,-81.773999999976,-79.625000000000
65,1082726666.666015630000,-81.173999999999,-78.682000000030
66,1082733333.333984380000,-82.315999999992,-79.724999999977
67,1082740000.000000000000,-81.587000000058,-78.694000000018
68,1082746666.666015620000,-82.592999999993,-79.771999999997
69,1082753333.333984380000,-81.672999999952,-78.939999999944
70,1082760000.000000000000,-82.393000000040,-79.109999999986
71,1082766666.666015630000,-81.506999999983,-79.079999999958
72,1082773333.333984380000,-82.435000000056,-79.920999999973
73,1082780000.000000000000,-81.204000000027,-79.417999999947
74,1082786666.666015620000,-82.047000000020,-79.974000000046
75,1082793333.333984380000,-81.118000000017,-79.175999999978
76,1082800000.000000000000,-81.724000000046,-80.579000000027
