"BlockSat v2 European Region"
"Start", 1.080300000000000E+0009
"Stop", 1.088300000000000E+0009
"Points",601
"Point","X-Axis (Hz)","West of Telstar 11N (wrong sat) (dBm)","Telstar 11N (dBm)"
242,1083513333.333984380000,-72.983000000007,-83.883999999962
243,1083526666.666015620000,-71.844000000041,-82.903999999980
244,1083540000.000000000000,-72.893000000040,-83.864999999991
245,1083553333.333984380000,-72.054000000004,-82.927999999956
246,1083566666.666015620000,-72.778000000049,-83.898999999976
247,1083580000.000000000000,-71.721000000020,-83.018999999971
248,1083593333.333984380000,-72.949999999953,-84.140000000014
249,1083606666.666015620000,-72.084999999963,-82.885000000009
250,1083620000.000000000000,-72.993999999948,-83.856000000029
251,1083633333.333984380000,-71.812000000034,-82.918999999994
252,1083646666.666015620000,-72.856999999960,-84.065999999992
253,1083660000.000000000000,-72.074999999953,-83.040000000037
254,1083673333.333984380000,-72.792000000016,-84.035000000033
255,1083686666.666015620000,-71.685000000056,-82.930999999982
256,1083700000.000000000000,-72.932999999961,-84.094999999972
257,1083713333.333984380000,-71.788999999990,-83.062000000034
258,1083726666.666015620000,-73.231000000029,-83.920999999973
259,1083740000.000000000000,-72.079000000027,-82.907000000007
260,1083753333.333984380000,-72.761999999988,-83.574999999953
261,1083766666.666015620000,-72.062999999966,-82.795999999973
262,1083780000.000000000000,-73.530999999959,-83.521999999997
263,1083793333.333984380000,-71.790000000037,-82.020999999950
264,1083806666.666015620000,-72.597999999998,-82.386999999988
265,1083820000.000000000000,-71.660000000033,-79.903000000049
266,1083833333.333984380000,-72.687999999966,-80.437000000034
267,1083846666.666015620000,-71.849999999977,-77.770000000019
268,1083860000.000000000000,-73.125000000000,-78.344000000041
269,1083873333.333984380000,-72.177999999956,-76.511999999988
270,1083886666.666015620000,-73.018000000040,-76.824000000022
271,1083900000.000000000000,-72.126999999979,-75.418999999994
272,1083913333.333984380000,-72.827999999980,-76.037999999942
273,1083926666.666015620000,-71.940999999992,-74.770999999950
274,1083940000.000000000000,-73.244999999995,-75.199000000022
275,1083953333.333984380000,-72.021999999997,-74.158999999985
276,1083966666.666015630000,-73.032000000007,-75.347999999998
277,1083980000.000000000000,-72.187000000034,-74.270999999950
278,1083993333.333984380000,-72.736000000034,-75.050999999978
279,1084006666.666015630000,-72.064000000013,-74.106999999960
280,1084020000.000000000000,-73.386000000057,-75.076000000001
281,1084033333.333984380000,-72.001000000047,-73.988999999943
282,1084046666.666015630000,-73.126000000047,-75.008000000031
283,1084060000.000000000000,-72.128999999957,-74.033999999985
284,1084073333.333984380000,-73.206000000006,-75.182000000030
285,1084086666.666015630000,-72.292000000016,-74.033000000054
286,1084100000.000000000000,-73.145999999950,-74.751999999979
287,1084113333.333984380000,-71.787999999942,-73.758999999962
288,1084126666.666015630000,-72.898000000045,-74.886000000057
289,1084140000.000000000000,-72.052999999956,-73.738000000012
290,1084153333.333984380000,-73.128000000026,-75.040000000037
291,1084166666.666015620000,-72.172999999952,-73.957000000053
292,1084180000.000000000000,-72.685000000056,-74.978000000003
293,1084193333.333984370000,-71.952999999980,-73.888999999966
294,1084206666.666015620000,-73.023999999976,-74.851999999955
295,1084220000.000000000000,-72.135000000009,-73.974000000046
296,1084233333.333984370000,-73.052000000025,-75.001000000047
297,1084246666.666015620000,-72.128999999957,-73.890000000014
298,1084260000.000000000000,-73.145999999950,-74.714000000036
299,1084273333.333984370000,-72.224999999977,-73.834999999963
300,1084286666.666015620000,-73.271999999997,-74.518999999971
301,1084300000.000000000000,-72.060999999987,-73.804000000004
302,1084313333.333984370000,-73.349000000046,-74.800000000047
303,1084326666.666015620000,-72.332000000053,-73.697000000044
304,1084340000.000000000000,-73.204999999958,-74.591000000015
305,1084353333.333984370000,-72.442999999970,-73.483000000007
306,1084366666.666015620000,-73.407000000007,-74.403000000049
307,1084380000.000000000000,-72.076000000001,-73.619999999995
308,1084393333.333984380000,-73.038999999990,-74.692999999970
309,1084406666.666015620000,-72.005000000005,-73.777000000002
310,1084420000.000000000000,-72.878000000026,-74.562999999966
311,1084433333.333984380000,-72.290000000037,-73.712999999989
312,1084446666.666015620000,-73.494999999995,-74.540999999968
313,1084460000.000000000000,-72.336000000010,-73.724999999977
314,1084473333.333984380000,-73.437999999966,-74.657000000007
315,1084486666.666015620000,-72.506000000052,-73.601000000024
316,1084500000.000000000000,-73.643000000040,-74.704999999958
317,1084513333.333984380000,-72.717999999993,-73.444999999949
318,1084526666.666015620000,-74.194999999949,-74.859999999986
319,1084540000.000000000000,-73.221999999951,-73.812000000034
320,1084553333.333984380000,-74.505000000005,-74.616999999969
321,1084566666.666015620000,-73.734000000055,-73.886000000057
322,1084580000.000000000000,-75.582999999984,-74.898000000045
323,1084593333.333984380000,-74.447000000044,-73.834999999963
324,1084606666.666015620000,-76.199999999953,-74.893000000040
325,1084620000.000000000000,-75.310999999987,-74.113000000012
326,1084633333.333984380000,-77.577999999980,-74.922000000020
327,1084646666.666015620000,-76.393000000040,-73.687999999966
328,1084660000.000000000000,-78.751000000047,-74.822999999975
329,1084673333.333984380000,-77.201000000001,-73.807000000030
330,1084686666.666015620000,-80.476999999955,-74.511999999988
331,1084700000.000000000000,-79.081000000006,-73.729000000050
332,1084713333.333984380000,-81.503000000026,-74.697000000044
333,1084726666.666015620000,-80.376000000047,-73.694999999949
334,1084740000.000000000000,-82.400000000023,-74.636999999988
335,1084753333.333984380000,-80.579999999958,-73.741000000038
336,1084766666.666015620000,-80.888999999966,-74.820999999996
337,1084780000.000000000000,-74.266999999993,-74.094999999972
338,1084793333.333984380000,-73.023999999976,-75.018000000040
339,1084806666.666015620000,-72.614999999991,-74.059000000008
340,1084820000.000000000000,-72.959999999963,-75.680000000051
341,1084833333.333984380000,-72.101999999955,-74.449000000022
342,1084846666.666015620000,-73.207999999984,-76.111999999965
343,1084860000.000000000000,-72.464999999967,-75.084999999963
344,1084873333.333984380000,-73.354999999981,-77.391999999993
345,1084886666.666015620000,-72.344999999972,-76.430000000051
346,1084900000.000000000000,-73.346999999951,-79.157000000007
347,1084913333.333984380000,-72.462000000058,-77.663999999990
348,1084926666.666015620000,-77.513000000035,-79.655999999959
349,1084940000.000000000000,-74.405000000028,-80.773999999976
350,1084953333.333984380000,-82.000000000000,-83.042999999947
351,1084966666.666015620000,-80.863999999943,-81.937999999966
352,1084980000.000000000000,-82.206000000006,-82.981999999960
353,1084993333.333984380000,-81.052999999956,-80.442000000039
354,1085006666.666015620000,-81.979000000050,-80.542999999947
355,1085020000.000000000000,-81.118999999948,-78.261999999988
356,1085033333.333984380000,-81.920000000042,-78.694999999949
357,1085046666.666015620000,-74.856999999960,-77.302000000025
358,1085060000.000000000000,-72.746000000043,-78.572999999975
359,1085073333.333984380000,-72.668999999994,-77.484999999986
360,1085086666.666015620000,-73.302999999956,-78.236999999965
361,1085100000.000000000000,-72.523999999976,-77.351999999955
362,1085113333.333984380000,-74.228000000003,-78.371999999974
363,1085126666.666015620000,-72.633999999962,-77.454999999958
364,1085140000.000000000000,-81.655000000028,-78.390999999945
365,1085153333.333984380000,-79.657000000007,-77.273999999976
366,1085166666.666015620000,-81.984000000055,-78.371000000043
367,1085180000.000000000000,-81.199000000022,-77.126999999979
368,1085193333.333984380000,-81.836000000010,-78.167000000016
369,1085206666.666015630000,-80.800000000047,-77.408999999985
370,1085220000.000000000000,-81.827000000048,-78.511000000057
371,1085233333.333984380000,-81.040999999968,-77.248999999953
372,1085246666.666015630000,-81.809000000008,-78.467999999993
373,1085260000.000000000000,-80.817000000039,-77.506000000052
374,1085273333.333984380000,-81.883000000031,-79.119999999995
375,1085286666.666015630000,-81.199000000022,-77.503000000026
376,1085300000.000000000000,-82.248000000021,-77.986000000034
377,1085313333.333984380000,-81.125000000000,-77.260000000009
378,1085326666.666015630000,-81.937999999966,-78.344999999972
379,1085340000.000000000000,-80.939000000013,-77.322999999975
380,1085353333.333984380000,-82.079000000027,-78.261000000057
381,1085366666.666015620000,-80.886999999988,-77.410000000033
382,1085380000.000000000000,-81.873000000021,-78.084999999963
383,1085393333.333984380000,-80.925999999978,-77.439000000013
384,1085406666.666015620000,-81.927000000025,-79.113000000012
385,1085420000.000000000000,-81.113999999943,-78.199999999953
386,1085433333.333984370000,-81.814999999944,-81.545999999973
387,1085446666.666015620000,-80.853000000003,-79.493999999948
388,1085460000.000000000000,-81.986000000034,-82.530000000028
389,1085473333.333984370000,-81.187000000034,-82.721999999951
390,1085486666.666015620000,-81.922000000020,-83.685999999987
391,1085500000.000000000000,-80.989999999991,-82.493000000017
392,1085513333.333984370000,-82.008000000031,-83.623999999953
393,1085526666.666015620000,-81.126000000047,-82.405000000028
394,1085540000.000000000000,-81.805000000051,-83.633999999962
395,1085553333.333984370000,-80.898000000045,-82.489999999991
396,1085566666.666015620000,-81.403999999980,-83.511999999988
397,1085580000.000000000000,-80.964999999967,-82.800999999978
398,1085593333.333984370000,-82.035999999964,-83.679000000004
399,1085606666.666015620000,-81.033000000054,-82.694000000018
400,1085620000.000000000000,-82.030000000028,-83.633999999962
401,1085633333.333984380000,-81.160999999964,-82.643999999971
402,1085646666.666015620000,-81.832000000053,-83.765000000014
403,1085660000.000000000000,-80.945999999996,-82.704000000027
404,1085673333.333984380000,-82.043999999994,-83.790999999968
405,1085686666.666015620000,-80.935999999987,-82.599000000046
406,1085700000.000000000000,-81.942999999970,-83.589000000036
407,1085713333.333984380000,-80.866999999969,-82.596000000020
408,1085726666.666015620000,-82.045999999973,-83.795000000042
409,1085740000.000000000000,-80.530999999959,-82.540999999968
410,1085753333.333984380000,-82.082000000053,-83.434000000008
411,1085766666.666015620000,-80.915999999968,-82.415999999968
412,1085780000.000000000000,-82.295999999973,-83.435000000056
413,1085793333.333984380000,-80.662999999942,-82.658999999985
414,1085806666.666015620000,-82.146999999997,-83.513000000035
415,1085820000.000000000000,-81.054000000004,-82.491000000038
416,1085833333.333984380000,-81.824999999953,-83.538999999990
417,1085846666.666015620000,-80.820999999996,-82.408000000054
418,1085860000.000000000000,-81.868999999948,-83.493999999948
419,1085873333.333984380000,-80.792999999947,-82.412999999942
420,1085886666.666015620000,-82.008999999962,-83.437000000034
421,1085900000.000000000000,-80.856999999960,-82.673999999999
422,1085913333.333984380000,-82.109000000055,-83.557999999961
423,1085926666.666015620000,-81.251999999979,-82.322999999975
424,1085940000.000000000000,-81.712000000058,-83.636999999988
425,1085953333.333984380000,-80.947000000044,-82.211000000010
426,1085966666.666015620000,-82.130000000005,-83.596000000020
427,1085980000.000000000000,-80.780999999959,-82.608000000007
428,1085993333.333984380000,-81.707999999984,-83.545000000042
429,1086006666.666015620000,-81.101999999955,-82.564999999944
430,1086020000.000000000000,-81.729999999981,-83.881000000052
431,1086033333.333984380000,-80.854999999981,-82.847999999998
432,1086046666.666015620000,-81.690999999992,-83.437000000034
433,1086060000.000000000000,-80.778999999980,-82.672999999952
434,1086073333.333984380000,-81.694000000018,-83.638999999966
435,1086086666.666015620000,-80.753999999957,-82.597999999998
436,1086100000.000000000000,-81.959000000032,-83.552999999956
437,1086113333.333984380000,-80.837999999989,-82.407000000007
438,1086126666.666015620000,-81.631000000052,-83.581000000006
439,1086140000.000000000000,-80.704000000027,-82.579000000027
440,1086153333.333984380000,-81.775999999954,-83.444999999949
441,1086166666.666015620000,-80.886000000057,-82.528999999980
442,1086180000.000000000000,-81.925999999978,-83.329000000027
443,1086193333.333984380000,-81.089000000036,-82.449999999953
444,1086206666.666015620000,-82.106000000029,-83.631000000052
445,1086220000.000000000000,-80.947999999975,-82.560000000056
446,1086233333.333984380000,-81.765999999945,-83.542999999947
447,1086246666.666015620000,-80.814000000013,-82.310000000056
448,1086260000.000000000000,-82.010000000009,-83.344000000041
449,1086273333.333984380000,-81.087000000058,-82.091999999946
450,1086286666.666015620000,-81.753999999957,-83.189999999944
451,1086300000.000000000000,-80.552000000025,-82.405000000028
452,1086313333.333984380000,-81.680000000051,-83.157000000007
453,1086326666.666015620000,-80.795000000042,-82.305000000051
454,1086340000.000000000000,-81.358000000007,-83.533999999985
455,1086353333.333984380000,-80.439000000013,-82.089000000036
456,1086366666.666015620000,-81.775999999954,-83.168999999994
457,1086380000.000000000000,-80.814000000013,-82.295000000042
458,1086393333.333984380000,-81.824999999953,-83.202000000048
459,1086406666.666015620000,-80.706000000006,-82.442000000039
460,1086420000.000000000000,-81.520999999950,-83.001000000047
461,1086433333.333984380000,-80.775999999954,-82.148999999976
462,1086446666.666015630000,-81.702000000048,-83.285999999964
463,1086460000.000000000000,-80.886999999988,-82.351999999955
464,1086473333.333984380000,-81.547999999952,-83.358000000007
465,1086486666.666015630000,-80.584999999963,-82.481000000029
466,1086500000.000000000000,-81.483000000007,-83.195999999996
467,1086513333.333984380000,-80.677999999956,-82.356000000029
468,1086526666.666015630000,-81.878999999957,-83.204000000027
469,1086540000.000000000000,-80.714000000036,-81.114999999991
470,1086553333.333984380000,-81.596000000020,-81.518000000040
471,1086566666.666015630000,-80.381000000052,-77.886999999988
472,1086580000.000000000000,-81.690999999992,-80.964999999967
473,1086593333.333984380000,-80.633999999962,-77.537000000011
474,1086606666.666015620000,-81.587999999989,-80.511999999988
475,1086620000.000000000000,-80.469000000041,-77.221999999951
476,1086633333.333984380000,-81.371999999974,-80.187000000034
477,1086646666.666015620000,-80.606999999960,-77.467999999993
478,1086660000.000000000000,-81.692000000039,-80.537000000011
479,1086673333.333984370000,-80.819000000018,-76.775999999954
480,1086686666.666015620000,-81.398999999976,-80.140000000014
481,1086700000.000000000000,-80.728000000003,-76.878999999957
482,1086713333.333984370000,-81.584999999963,-79.516999999993
483,1086726666.666015620000,-80.628000000026,-76.812999999966
484,1086740000.000000000000,-81.261000000057,-80.454000000027
485,1086753333.333984370000,-80.471999999951,-76.890999999945
486,1086766666.666015620000,-81.738999999943,-79.964000000036
487,1086780000.000000000000,-80.452999999980,-76.817999999970
488,1086793333.333984370000,-81.682999999961,-79.378999999957
