"SoftPlot +Plus+ Measurement Management Software"
"Start", 1.064020000000000E+0009
"Stop", 1.068020000000000E+0009
"Points",601
"Point","X-Axis (Hz)","Satellite - east of Telstar 11N (dBm)","Telstar 11N (dBm)"
1,1064020000.000000000000,-74.403999999980,-75.584999999963
2,1064026666.666992188000,-74.494999999995,-75.836000000010
3,1064033333.333007812000,-74.883999999962,-75.952999999980
4,1064040000.000000000000,-74.935999999987,-76.047000000020
5,1064046666.666992188000,-74.809000000008,-76.055000000051
6,1064053333.333007812000,-74.685999999987,-75.971999999951
7,1064060000.000000000000,-74.692000000039,-75.869999999995
8,1064066666.666992188000,-74.280000000028,-75.748000000021
9,1064073333.333007812000,-74.295999999973,-75.714000000036
10,1064080000.000000000000,-74.180000000051,-75.785000000033
11,1064086666.666992187000,-74.162000000011,-75.829999999958
12,1064093333.333007812000,-74.513000000035,-75.820999999996
13,1064100000.000000000000,-74.476000000024,-75.851000000024
14,1064106666.666992188000,-74.582999999984,-76.003999999957
15,1064113333.333007812000,-74.873000000021,-75.827999999980
16,1064120000.000000000000,-74.746999999974,-75.445999999996
17,1064126666.666992188000,-74.770999999950,-75.143000000040
18,1064133333.333007812000,-74.721999999951,-74.474000000046
19,1064140000.000000000000,-74.555999999982,-73.327999999980
20,1064146666.666992188000,-74.792999999947,-71.844999999972
21,1064153333.333007812000,-74.560999999987,-70.346999999951
22,1064160000.000000000000,-74.557000000030,-69.020000000019
23,1064166666.666992188000,-74.701000000001,-67.523999999976
24,1064173333.333007812000,-74.682999999961,-66.405000000028
25,1064180000.000000000000,-74.645999999950,-65.589000000036
26,1064186666.666992188000,-74.582999999984,-64.660000000033
27,1064193333.333007812000,-74.508999999962,-64.065999999992
28,1064200000.000000000000,-74.663999999990,-63.789999999979
29,1064206666.666992188000,-74.851999999955,-63.581000000006
30,1064213333.333007812000,-74.756000000052,-63.266000000003
31,1064220000.000000000000,-74.726000000024,-63.201999999990
32,1064226666.666992188000,-74.650000000023,-63.081000000006
33,1064233333.333007812000,-74.601000000024,-63.120999999985
34,1064240000.000000000000,-74.476000000024,-63.076999999990
35,1064246666.666992188000,-74.349000000046,-63.063000000024
36,1064253333.333007813000,-74.462999999989,-63.235999999975
37,1064260000.000000000000,-74.682000000030,-63.201000000001
38,1064266666.666992188000,-74.687999999966,-63.282999999996
39,1064273333.333007812000,-74.537999999942,-63.189000000013
40,1064280000.000000000000,-74.554000000004,-63.126999999979
41,1064286666.666992188000,-74.535000000033,-63.094999999972
42,1064293333.333007812000,-74.478000000003,-63.172000000020
43,1064300000.000000000000,-74.471000000020,-63.106000000029
44,1064306666.666992188000,-74.741000000038,-63.255000000005
45,1064313333.333007812000,-74.814000000013,-63.492000000027
46,1064320000.000000000000,-74.991999999969,-63.591000000015
47,1064326666.666992188000,-74.923999999999,-63.862000000023
48,1064333333.333007812000,-74.668999999994,-63.996999999974
49,1064340000.000000000000,-74.655000000028,-64.628000000026
50,1064346666.666992188000,-74.564000000013,-65.655999999959
51,1064353333.333007813000,-74.613000000012,-66.493999999948
52,1064360000.000000000000,-74.682999999961,-67.481999999960
53,1064366666.666992188000,-74.550999999978,-68.459999999963
54,1064373333.333007812000,-74.569999999949,-69.158999999985
55,1064380000.000000000000,-74.780999999959,-68.724000000046
56,1064386666.666992188000,-74.731999999960,-68.741999999969
57,1064393333.333007812000,-74.505000000005,-67.180000000051
58,1064400000.000000000000,-74.560000000056,-66.202000000048
59,1064406666.666992188000,-74.672999999952,-65.478000000003
60,1064413333.333007812000,-74.547999999952,-64.795000000042
61,1064420000.000000000000,-74.535999999964,-64.376000000047
62,1064426666.666992188000,-74.574999999953,-64.261000000057
63,1064433333.333007812000,-74.854999999981,-64.092999999993
64,1064440000.000000000000,-74.746999999974,-63.951999999990
65,1064446666.666992187000,-74.489999999991,-63.994000000006
66,1064453333.333007813000,-74.545999999973,-63.925999999978
67,1064460000.000000000000,-74.579000000027,-63.931999999972
68,1064466666.666992188000,-74.650999999954,-63.847000000009
69,1064473333.333007812000,-74.613000000012,-63.918999999994
70,1064480000.000000000000,-74.611000000034,-63.956000000006
71,1064486666.666992188000,-74.734000000055,-63.994999999995
72,1064493333.333007812000,-75.251000000047,-63.744000000006
73,1064500000.000000000000,-75.114999999991,-63.803000000014
74,1064506666.666992188000,-75.163999999990,-63.854999999981
75,1064513333.333007812000,-75.270000000019,-64.030999999959
76,1064520000.000000000000,-75.324999999953,-64.282000000007
77,1064526666.666992188000,-75.515000000014,-64.484999999986
78,1064533333.333007812000,-75.714999999967,-64.829000000027
79,1064540000.000000000000,-75.741000000038,-65.422000000020
80,1064546666.666992187000,-76.076000000001,-66.476999999955
81,1064553333.333007813000,-76.042999999947,-67.211000000010
82,1064560000.000000000000,-76.101999999955,-68.278999999980
83,1064566666.666992188000,-76.077999999980,-69.403000000049
84,1064573333.333007812000,-76.275999999954,-70.246000000043
85,1064580000.000000000000,-76.307999999961,-70.427000000025
86,1064586666.666992188000,-76.349000000046,-70.430999999982
87,1064593333.333007812000,-76.434000000008,-69.488000000012
88,1064600000.000000000000,-76.496000000043,-68.824000000022
89,1064606666.666992188000,-76.530000000028,-68.238000000012
90,1064613333.333007812000,-76.440999999992,-67.962999999989
91,1064620000.000000000000,-76.408999999985,-67.572999999975
92,1064626666.666992188000,-76.273999999976,-67.250000000000
93,1064633333.333007812000,-76.282000000007,-67.055000000051
94,1064640000.000000000000,-76.251000000047,-66.758999999962
95,1064646666.666992187000,-76.258999999962,-66.592999999993
96,1064653333.333007813000,-76.238000000012,-66.567000000039
97,1064660000.000000000000,-76.209000000032,-66.461000000010
98,1064666666.666992188000,-75.935999999987,-66.412999999942
99,1064673333.333007812000,-75.802999999956,-66.491999999969
100,1064680000.000000000000,-75.503999999957,-66.408999999985
101,1064686666.666992188000,-75.498999999953,-66.351999999955
102,1064693333.333007812000,-75.285999999964,-66.207999999984
103,1064700000.000000000000,-75.158999999985,-66.229000000050
104,1064706666.666992188000,-75.201000000001,-66.187999999966
105,1064713333.333007812000,-75.165999999968,-66.415000000037
106,1064720000.000000000000,-75.258999999962,-66.192999999970
107,1064726666.666992188000,-75.238999999943,-66.177999999956
108,1064733333.333007812000,-74.885000000009,-66.244999999995
109,1064740000.000000000000,-74.655999999959,-66.278000000049
110,1064746666.666992187000,-74.692000000039,-66.439000000013
111,1064753333.333007813000,-74.653999999980,-66.390999999945
112,1064760000.000000000000,-74.795000000042,-66.347999999998
113,1064766666.666992188000,-74.577000000048,-66.310999999987
114,1064773333.333007812000,-74.954000000027,-66.315999999992
115,1064780000.000000000000,-74.572999999975,-66.334999999963
116,1064786666.666992188000,-74.538999999990,-66.314000000013
117,1064793333.333007812000,-74.856999999960,-66.366000000038
118,1064800000.000000000000,-74.851999999955,-66.508000000031
119,1064806666.666992188000,-74.891999999993,-66.405000000028
120,1064813333.333007812000,-74.844999999972,-66.334999999963
121,1064820000.000000000000,-74.984000000055,-66.412000000011
122,1064826666.666992188000,-75.023999999976,-66.491999999969
123,1064833333.333007812000,-75.211000000010,-66.636000000057
124,1064840000.000000000000,-74.944000000018,-66.493999999948
125,1064846666.666992187000,-74.902000000002,-66.388999999966
126,1064853333.333007812000,-74.513999999966,-66.331000000006
127,1064860000.000000000000,-74.658999999985,-66.234999999986
128,1064866666.666992188000,-74.579000000027,-66.312000000034
129,1064873333.333007812000,-74.466000000015,-66.405999999959
130,1064880000.000000000000,-74.579000000027,-66.388999999966
131,1064886666.666992188000,-75.076000000001,-66.390000000014
132,1064893333.333007812000,-75.033000000054,-66.344000000041
133,1064900000.000000000000,-75.040000000037,-66.432000000030
134,1064906666.666992188000,-74.827999999980,-66.207999999984
135,1064913333.333007812000,-74.785000000033,-66.197999999975
136,1064920000.000000000000,-74.775000000023,-66.547999999952
137,1064926666.666992188000,-74.839999999967,-66.423999999999
138,1064933333.333007812000,-74.712000000058,-66.515999999945
139,1064940000.000000000000,-74.722999999998,-66.689999999944
140,1064946666.666992187000,-74.902000000002,-66.842999999993
141,1064953333.333007812000,-74.734000000055,-66.910999999964
142,1064960000.000000000000,-74.599999999977,-67.099999999977
143,1064966666.666992188000,-74.692000000039,-67.425000000047
144,1064973333.333007812000,-74.606000000029,-67.523999999976
145,1064980000.000000000000,-74.516999999993,-68.087000000058
146,1064986666.666992188000,-74.501999999979,-68.636000000057
147,1064993333.333007812000,-74.547000000020,-69.234999999986
148,1065000000.000000000000,-74.927999999956,-69.854999999981
149,1065006666.666992188000,-74.962999999989,-70.481000000029
150,1065013333.333007812000,-74.738999999943,-71.241000000038
151,1065020000.000000000000,-74.697999999975,-72.091999999946
152,1065026666.666992188000,-74.665999999968,-73.023999999976
153,1065033333.333007812000,-74.741999999969,-73.782000000007
154,1065040000.000000000000,-74.731000000029,-74.393999999971
155,1065046666.666992188000,-74.614999999991,-74.971000000020
156,1065053333.333007812000,-74.540999999968,-75.427000000025
157,1065060000.000000000000,-75.015000000014,-75.748000000021
158,1065066666.666992188000,-74.910000000033,-75.768000000040
159,1065073333.333007812000,-74.912000000011,-76.081000000006
160,1065080000.000000000000,-74.765999999945,-76.094000000041
161,1065086666.666992188000,-74.679000000004,-76.221999999951
162,1065093333.333007812000,-74.685999999987,-76.187000000034
163,1065100000.000000000000,-74.690999999992,-76.185999999987
164,1065106666.666992188000,-74.716999999946,-76.145999999950
165,1065113333.333007813000,-74.883999999962,-76.206000000006
166,1065120000.000000000000,-74.717999999993,-76.209999999963
167,1065126666.666992188000,-74.658999999985,-76.297999999952
168,1065133333.333007812000,-74.751999999979,-76.287999999942
169,1065140000.000000000000,-74.653000000049,-76.099000000046
170,1065146666.666992188000,-74.599000000046,-76.165000000037
171,1065153333.333007812000,-74.525000000023,-76.011000000057
172,1065160000.000000000000,-74.668999999994,-76.106000000029
173,1065166666.666992188000,-74.694000000018,-76.074999999953
174,1065173333.333007812000,-75.099000000046,-76.094999999972
175,1065180000.000000000000,-74.812999999966,-76.003999999957
176,1065186666.666992188000,-74.755000000005,-76.175000000047
177,1065193333.333007812000,-74.609000000055,-76.310999999987
178,1065200000.000000000000,-74.603000000003,-76.209999999963
179,1065206666.666992188000,-74.631999999983,-76.197000000044
180,1065213333.333007813000,-74.640999999945,-76.158999999985
181,1065220000.000000000000,-74.682000000030,-76.155000000028
182,1065226666.666992188000,-74.868000000017,-76.165000000037
183,1065233333.333007812000,-74.618000000017,-76.084000000032
184,1065240000.000000000000,-74.636000000057,-76.172999999952
185,1065246666.666992188000,-74.680999999982,-76.021999999997
186,1065253333.333007812000,-74.707000000053,-75.998000000021
187,1065260000.000000000000,-74.562999999966,-75.984999999986
188,1065266666.666992188000,-74.641999999993,-76.045999999973
189,1065273333.333007812000,-74.903000000049,-76.096000000020
190,1065280000.000000000000,-74.981999999960,-76.113999999943
191,1065286666.666992188000,-74.978000000003,-76.300000000047
192,1065293333.333007812000,-75.030999999959,-76.229999999981
193,1065300000.000000000000,-74.734000000055,-76.261999999988
194,1065306666.666992187000,-74.878999999957,-76.324999999953
195,1065313333.333007813000,-74.596999999951,-76.255000000005
196,1065320000.000000000000,-74.630000000005,-76.172999999952
197,1065326666.666992188000,-74.699000000022,-76.248999999953
198,1065333333.333007812000,-74.832000000053,-76.341999999946
199,1065340000.000000000000,-74.854000000050,-76.368999999948
200,1065346666.666992188000,-74.896999999997,-76.209000000032
201,1065353333.333007812000,-74.902000000002,-76.199999999953
202,1065360000.000000000000,-74.785999999964,-76.199000000022
203,1065366666.666992188000,-74.724999999977,-76.224000000046
204,1065373333.333007812000,-74.969000000041,-76.265999999945
205,1065380000.000000000000,-74.918999999994,-76.202999999980
206,1065386666.666992188000,-74.878999999957,-76.214999999967
207,1065393333.333007812000,-74.910000000033,-76.359000000055
208,1065400000.000000000000,-75.376000000047,-76.376000000047
209,1065406666.666992187000,-75.459000000032,-76.307000000030
210,1065413333.333007813000,-75.471999999951,-76.108000000007
211,1065420000.000000000000,-75.619999999995,-76.130000000005
212,1065426666.666992188000,-75.650999999954,-76.180999999982
213,1065433333.333007812000,-75.675000000047,-76.206000000006
214,1065440000.000000000000,-75.827999999980,-76.266999999993
215,1065446666.666992188000,-76.118999999948,-76.356999999960
