"BlockSat Plots"
"Start", 1.065520000000000E+0009
"Stop", 1.066520000000000E+0009
"Points",601
"Point","X-Axis (Hz)","Satellite - west of Telstar 11N (dBm)","Telstar 11N (dBm)"
159,1065783333.333007812000,-73.172999999952,-82.005000000005
160,1065785000.000000000000,-73.608000000007,-82.761999999988
161,1065786666.666992188000,-73.150999999954,-81.932000000030
162,1065788333.333007812000,-73.489999999991,-82.011000000057
163,1065790000.000000000000,-73.613999999943,-82.123000000021
164,1065791666.666992188000,-73.643999999971,-82.089999999967
165,1065793333.333007812000,-73.548999999999,-81.802999999956
166,1065795000.000000000000,-74.199000000022,-82.057000000030
167,1065796666.666992188000,-73.250000000000,-82.033999999985
168,1065798333.333007812000,-73.092999999993,-82.170000000042
169,1065800000.000000000000,-73.135000000009,-81.751000000047
170,1065801666.666992188000,-73.368999999948,-81.834999999963
171,1065803333.333007812000,-73.434000000008,-82.099000000046
172,1065805000.000000000000,-73.942000000039,-82.192000000039
173,1065806666.666992187000,-73.310999999987,-81.988999999943
174,1065808333.333007812000,-73.320999999996,-82.525000000023
175,1065810000.000000000000,-73.423999999999,-82.018000000040
176,1065811666.666992188000,-73.418999999994,-82.275000000023
177,1065813333.333007812000,-73.158999999985,-81.966999999946
178,1065815000.000000000000,-73.097999999998,-82.645000000019
179,1065816666.666992188000,-73.358000000007,-82.074999999953
180,1065818333.333007812000,-73.717999999993,-82.162000000011
181,1065820000.000000000000,-72.918999999994,-82.113000000012
182,1065821666.666992187000,-73.668999999994,-82.084000000032
183,1065823333.333007812000,-73.016999999993,-82.221999999951
184,1065825000.000000000000,-73.815999999992,-81.905000000028
185,1065826666.666992188000,-73.368999999948,-81.837999999989
186,1065828333.333007812000,-73.484999999986,-81.793999999994
187,1065830000.000000000000,-73.584999999963,-81.981999999960
188,1065831666.666992188000,-73.530000000028,-82.454999999958
189,1065833333.333007812000,-73.417000000016,-81.537000000011
190,1065835000.000000000000,-73.498999999953,-81.577000000048
191,1065836666.666992187000,-73.317999999970,-81.628000000026
192,1065838333.333007812000,-73.472999999998,-81.716000000015
193,1065840000.000000000000,-73.268999999971,-81.797000000020
194,1065841666.666992188000,-73.113999999943,-81.702999999980
195,1065843333.333007813000,-73.211000000010,-81.957999999984
196,1065845000.000000000000,-73.540000000037,-82.187000000034
197,1065846666.666992188000,-73.072000000044,-81.244999999995
198,1065848333.333007812000,-73.172999999952,-81.376999999979
199,1065850000.000000000000,-73.212999999989,-81.493999999948
200,1065851666.666992188000,-73.376999999979,-81.969000000041
201,1065853333.333007812000,-73.586000000010,-81.498999999953
202,1065855000.000000000000,-73.587999999989,-81.484000000055
203,1065856666.666992188000,-73.599000000046,-81.498000000021
204,1065858333.333007813000,-73.466999999946,-82.145000000019
205,1065860000.000000000000,-73.518000000040,-81.589000000036
206,1065861666.666992188000,-73.645000000019,-81.555999999982
207,1065863333.333007812000,-73.064999999944,-81.555999999982
208,1065865000.000000000000,-73.055999999982,-81.472999999998
209,1065866666.666992188000,-73.119999999995,-81.430000000051
210,1065868333.333007812000,-73.339999999967,-81.155999999959
211,1065870000.000000000000,-73.349999999977,-81.606999999960
212,1065871666.666992188000,-73.694000000018,-81.937000000034
213,1065873333.333007813000,-73.668999999994,-81.307000000030
214,1065875000.000000000000,-74.077999999980,-81.498999999953
215,1065876666.666992188000,-73.432999999961,-81.731000000029
216,1065878333.333007812000,-73.493999999948,-82.101000000024
217,1065880000.000000000000,-73.577000000048,-81.300999999978
218,1065881666.666992188000,-73.988000000012,-81.275000000023
219,1065883333.333007812000,-73.798999999999,-81.011000000057
220,1065885000.000000000000,-73.922999999952,-80.991000000038
221,1065886666.666992188000,-73.508000000031,-80.797000000020
222,1065888333.333007812000,-73.660000000033,-80.660000000033
223,1065890000.000000000000,-73.849999999977,-80.670000000042
224,1065891666.666992188000,-73.947000000044,-80.221999999951
225,1065893333.333007812000,-74.265999999945,-79.758999999962
226,1065895000.000000000000,-74.520000000019,-79.157000000007
227,1065896666.666992188000,-74.665000000037,-78.863000000012
228,1065898333.333007812000,-75.069999999949,-79.437000000034
229,1065900000.000000000000,-74.915999999968,-78.533999999985
230,1065901666.666992188000,-75.013000000035,-78.368000000017
231,1065903333.333007812000,-75.295000000042,-78.145999999950
232,1065905000.000000000000,-75.498000000021,-77.964000000036
233,1065906666.666992188000,-75.969999999972,-77.697000000044
234,1065908333.333007812000,-76.157000000007,-77.187000000034
235,1065910000.000000000000,-76.412999999942,-77.320999999996
236,1065911666.666992188000,-76.662000000011,-76.839000000036
237,1065913333.333007812000,-76.704000000027,-76.190999999992
238,1065915000.000000000000,-76.886999999988,-76.594999999972
239,1065916666.666992188000,-77.082000000053,-76.064999999944
240,1065918333.333007812000,-77.457000000053,-76.474999999977
241,1065920000.000000000000,-77.432000000030,-75.751000000047
242,1065921666.666992187000,-77.741000000038,-75.778999999980
243,1065923333.333007812000,-77.966999999946,-75.572999999975
244,1065925000.000000000000,-78.442000000039,-75.339000000036
245,1065926666.666992188000,-78.589999999967,-75.143999999971
246,1065928333.333007812000,-78.645000000019,-75.358000000007
247,1065930000.000000000000,-78.817999999970,-74.966999999946
248,1065931666.666992188000,-79.263999999966,-75.332000000053
249,1065933333.333007812000,-79.400999999954,-74.886999999988
250,1065935000.000000000000,-79.658999999985,-74.851000000024
251,1065936666.666992187000,-79.721999999951,-74.913999999990
252,1065938333.333007812000,-80.035000000033,-74.957999999984
253,1065940000.000000000000,-80.373999999953,-74.608000000007
254,1065941666.666992188000,-80.574999999953,-74.665000000037
255,1065943333.333007813000,-81.207999999984,-74.773999999976
256,1065945000.000000000000,-81.305999999982,-74.847999999998
257,1065946666.666992188000,-81.547000000020,-74.638999999966
258,1065948333.333007812000,-81.785999999964,-74.673999999999
259,1065950000.000000000000,-81.854000000050,-74.657000000007
260,1065951666.666992187000,-81.885000000009,-74.672999999952
261,1065953333.333007812000,-81.851000000024,-74.425999999978
262,1065955000.000000000000,-82.829999999958,-74.476999999955
263,1065956666.666992188000,-82.168999999994,-74.685000000056
264,1065958333.333007813000,-82.146999999997,-74.547000000020
265,1065960000.000000000000,-82.564999999944,-74.537999999942
266,1065961666.666992188000,-82.574000000022,-74.753999999957
267,1065963333.333007812000,-82.734999999986,-74.738000000012
268,1065965000.000000000000,-82.596999999951,-75.172999999952
269,1065966666.666992188000,-82.601000000024,-74.439999999944
270,1065968333.333007812000,-82.434000000008,-74.692000000039
271,1065970000.000000000000,-82.486000000034,-74.694999999949
272,1065971666.666992188000,-83.116000000038,-74.809000000008
273,1065973333.333007813000,-82.498000000021,-74.270999999950
274,1065975000.000000000000,-83.206000000006,-74.574000000022
275,1065976666.666992188000,-82.692000000039,-74.202999999980
276,1065978333.333007812000,-83.047000000020,-74.714000000036
277,1065980000.000000000000,-82.966999999946,-74.631000000052
278,1065981666.666992188000,-83.314000000013,-74.538999999990
279,1065983333.333007812000,-82.785999999964,-74.728000000003
280,1065985000.000000000000,-83.466000000015,-75.077999999980
281,1065986666.666992188000,-82.768000000040,-74.550000000047
282,1065988333.333007812000,-82.758999999962,-74.479000000050
283,1065990000.000000000000,-82.783000000054,-74.280999999959
284,1065991666.666992188000,-83.104000000050,-74.347999999998
285,1065993333.333007812000,-82.574999999953,-74.743000000017
286,1065995000.000000000000,-83.168999999994,-75.172999999952
287,1065996666.666992188000,-82.739999999991,-74.236000000034
288,1065998333.333007812000,-82.633999999962,-74.702000000048
289,1066000000.000000000000,-82.692999999970,-74.138000000035
290,1066001666.666992188000,-82.596999999951,-74.221000000020
291,1066003333.333007812000,-82.706000000006,-74.550000000047
292,1066005000.000000000000,-83.008999999962,-74.584999999963
293,1066006666.666992188000,-82.844000000041,-74.295000000042
294,1066008333.333007812000,-82.711000000010,-74.706000000006
295,1066010000.000000000000,-82.964000000036,-74.195999999996
296,1066011666.666992188000,-83.273000000045,-74.687999999966
297,1066013333.333007812000,-82.761000000057,-74.503000000026
298,1066015000.000000000000,-82.878999999957,-74.736999999965
299,1066016666.666992188000,-82.929000000004,-74.346999999951
300,1066018333.333007812000,-82.778999999980,-74.716999999946
301,1066020000.000000000000,-82.837999999989,-74.684000000008
302,1066021666.666992187000,-82.792000000016,-74.451000000001
303,1066023333.333007812000,-82.554000000004,-74.584000000032
304,1066025000.000000000000,-82.645000000019,-74.942999999970
305,1066026666.666992188000,-82.711000000010,-74.481999999960
306,1066028333.333007812000,-82.883999999962,-74.369999999995
307,1066030000.000000000000,-83.136999999988,-74.731000000029
308,1066031666.666992188000,-83.189000000013,-74.991000000038
309,1066033333.333007812000,-82.940999999992,-75.064000000013
310,1066035000.000000000000,-82.844000000041,-75.251999999979
311,1066036666.666992187000,-83.077999999980,-74.445999999996
312,1066038333.333007812000,-83.631000000052,-74.515000000014
313,1066040000.000000000000,-83.050000000047,-74.572000000044
314,1066041666.666992188000,-82.925000000047,-74.510000000009
315,1066043333.333007812000,-82.817000000039,-74.283999999985
316,1066045000.000000000000,-82.861000000034,-74.356999999960
317,1066046666.666992188000,-82.920000000042,-74.505000000005
318,1066048333.333007812000,-82.474999999977,-74.483000000007
319,1066050000.000000000000,-82.677999999956,-74.060000000056
320,1066051666.666992187000,-82.505000000005,-74.731999999960
321,1066053333.333007812000,-82.410999999964,-74.189999999944
322,1066055000.000000000000,-82.292999999947,-74.854999999981
323,1066056666.666992188000,-82.241999999969,-74.263000000035
324,1066058333.333007813000,-82.244999999995,-75.270000000019
325,1066060000.000000000000,-82.028000000049,-74.557000000030
326,1066061666.666992188000,-81.841000000015,-74.207000000053
327,1066063333.333007812000,-81.896999999997,-74.212999999989
328,1066065000.000000000000,-81.758000000031,-75.055999999982
329,1066066666.666992188000,-81.951000000001,-74.241999999969
330,1066068333.333007812000,-81.773999999976,-74.670999999973
331,1066070000.000000000000,-81.530999999959,-74.525999999954
332,1066071666.666992188000,-81.312000000034,-74.903999999980
333,1066073333.333007813000,-80.802999999956,-74.525000000023
334,1066075000.000000000000,-80.978000000003,-74.466999999946
335,1066076666.666992188000,-80.645000000019,-74.077999999980
336,1066078333.333007812000,-80.003999999957,-74.488999999943
337,1066080000.000000000000,-79.582999999984,-74.082000000053
338,1066081666.666992188000,-79.623000000021,-74.645999999950
339,1066083333.333007812000,-79.140999999945,-74.628000000026
340,1066085000.000000000000,-79.618000000017,-75.255000000005
341,1066086666.666992188000,-79.143000000040,-74.650000000023
342,1066088333.333007813000,-79.314000000013,-75.167999999947
343,1066090000.000000000000,-78.609000000055,-74.728000000003
344,1066091666.666992188000,-79.214999999967,-74.692999999970
345,1066093333.333007812000,-78.349000000046,-74.503000000026
346,1066095000.000000000000,-78.059000000008,-74.594999999972
347,1066096666.666992188000,-77.746000000043,-74.559000000008
348,1066098333.333007812000,-77.410999999964,-74.547999999952
349,1066100000.000000000000,-77.356999999960,-74.395999999950
350,1066101666.666992188000,-77.037999999942,-74.457000000053
351,1066103333.333007812000,-76.883999999962,-74.562000000034
352,1066105000.000000000000,-77.111999999965,-74.653000000049
353,1066106666.666992188000,-76.631000000052,-74.773000000045
354,1066108333.333007812000,-76.650000000023,-74.878999999957
355,1066110000.000000000000,-76.145999999950,-74.832000000053
356,1066111666.666992188000,-76.614999999991,-74.701000000001
357,1066113333.333007812000,-76.103000000003,-74.949000000022
358,1066115000.000000000000,-76.157000000007,-75.344999999972
359,1066116666.666992188000,-75.917000000016,-74.837000000058
360,1066118333.333007812000,-75.750000000000,-74.959999999963
361,1066120000.000000000000,-75.297999999952,-75.091000000015
362,1066121666.666992188000,-75.131999999983,-75.351000000024
363,1066123333.333007812000,-75.261999999988,-75.248999999953
364,1066125000.000000000000,-75.270999999950,-75.486999999965
365,1066126666.666992188000,-75.554000000004,-74.972999999998
366,1066128333.333007812000,-75.993000000017,-75.533999999985
367,1066130000.000000000000,-75.457999999984,-75.003000000026
368,1066131666.666992188000,-75.368999999948,-75.717999999993
369,1066133333.333007812000,-75.270000000019,-74.866999999969
370,1066135000.000000000000,-75.454000000027,-75.038999999990
371,1066136666.666992187000,-75.444000000018,-75.229999999981
372,1066138333.333007812000,-75.381999999983,-75.479000000050
373,1066140000.000000000000,-75.207999999984,-75.064999999944
374,1066141666.666992188000,-75.131999999983,-75.751999999979
375,1066143333.333007812000,-75.082999999984,-75.888000000035
376,1066145000.000000000000,-74.854999999981,-76.199000000022
377,1066146666.666992188000,-74.993000000017,-76.285000000033
378,1066148333.333007812000,-75.310000000056,-76.672000000020
379,1066150000.000000000000,-74.822999999975,-76.616000000038
380,1066151666.666992187000,-74.864999999991,-77.268000000040
381,1066153333.333007812000,-74.927999999956,-77.476999999955
382,1066155000.000000000000,-74.896999999997,-77.655000000028
383,1066156666.666992188000,-75.050000000047,-77.959999999963
384,1066158333.333007813000,-75.189000000013,-78.494999999995
385,1066160000.000000000000,-74.787999999942,-78.738999999943
386,1066161666.666992188000,-75.359000000055,-78.596000000020
387,1066163333.333007812000,-74.780999999959,-78.626999999979
388,1066165000.000000000000,-74.719999999972,-78.809000000008
389,1066166666.666992187000,-74.888999999966,-79.158000000054
390,1066168333.333007812000,-74.707999999984,-79.658999999985
391,1066170000.000000000000,-74.932999999961,-80.023000000045
392,1066171666.666992188000,-74.910999999964,-80.633999999962
393,1066173333.333007813000,-75.221000000020,-80.136999999988
394,1066175000.000000000000,-75.060999999987,-80.253000000026
395,1066176666.666992188000,-75.239999999991,-81.091999999946
396,1066178333.333007812000,-75.604999999981,-81.116000000038
397,1066180000.000000000000,-74.929000000004,-80.972999999998
398,1066181666.666992188000,-75.013000000035,-81.118000000017
399,1066183333.333007812000,-74.905000000028,-80.996000000043
400,1066185000.000000000000,-75.317000000039,-80.988000000012
401,1066186666.666992188000,-74.746000000043,-80.795000000042
402,1066188333.333007813000,-75.162000000011,-80.547000000020
403,1066190000.000000000000,-75.298999999999,-80.655999999959
404,1066191666.666992188000,-75.265000000014,-81.067999999970
405,1066193333.333007812000,-75.125000000000,-80.805999999982
406,1066195000.000000000000,-75.361999999965,-80.741999999969
407,1066196666.666992188000,-75.106000000029,-80.199999999953
408,1066198333.333007812000,-75.153999999980,-80.412999999942
409,1066200000.000000000000,-75.312999999966,-80.219999999972
410,1066201666.666992188000,-75.917999999947,-80.734000000055
411,1066203333.333007812000,-75.005000000005,-80.199000000022
412,1066205000.000000000000,-74.972999999998,-80.207000000053
413,1066206666.666992188000,-75.001999999979,-79.918999999994
414,1066208333.333007812000,-75.314000000013,-80.368000000017
415,1066210000.000000000000,-75.508000000031,-79.716000000015
416,1066211666.666992188000,-75.476000000024,-79.886000000057
417,1066213333.333007812000,-75.670999999973,-79.542999999947
418,1066215000.000000000000,-75.728000000003,-79.724000000046
419,1066216666.666992188000,-75.513000000035,-79.207999999984
420,1066218333.333007812000,-75.552999999956,-78.971000000020
421,1066220000.000000000000,-75.386999999988,-79.300999999978
422,1066221666.666992188000,-75.586000000010,-79.685999999987
423,1066223333.333007812000,-75.645999999950,-79.187000000034
424,1066225000.000000000000,-75.866000000038,-79.511000000057
425,1066226666.666992188000,-75.003999999957,-78.494999999995
426,1066228333.333007812000,-75.143999999971,-78.986000000034
427,1066230000.000000000000,-75.182000000030,-78.560999999987
428,1066231666.666992188000,-75.207999999984,-78.628000000026
429,1066233333.333007812000,-75.148000000045,-78.184000000008
430,1066235000.000000000000,-75.060999999987,-78.761999999988
431,1066236666.666992188000,-75.162999999942,-77.792999999947
432,1066238333.333007812000,-75.349000000046,-78.614999999991
433,1066240000.000000000000,-74.851000000024,-78.035000000033
434,1066241666.666992188000,-75.363999999943,-78.168999999994
435,1066243333.333007812000,-75.332999999984,-78.062000000034
436,1066245000.000000000000,-75.300999999978,-77.947999999975
437,1066246666.666992188000,-75.518999999971,-78.021999999997
438,1066248333.333007812000,-75.714000000036,-77.954000000027
439,1066250000.000000000000,-74.972999999998,-78.148000000045
440,1066251666.666992187000,-75.062000000034,-78.341000000015
441,1066253333.333007812000,-75.133999999962,-77.699000000022
442,1066255000.000000000000,-75.052999999956,-77.819999999949
443,1066256666.666992188000,-75.096999999951,-77.746000000043
444,1066258333.333007812000,-75.143999999971,-77.898999999976
445,1066260000.000000000000,-75.309000000008,-77.037999999942
446,1066261666.666992188000,-75.300999999978,-77.195999999996
447,1066263333.333007812000,-75.567000000039,-77.341999999946
448,1066265000.000000000000,-75.881999999983,-77.597999999998
449,1066266666.666992187000,-74.925000000047,-76.986999999965
450,1066268333.333007812000,-75.177999999956,-76.952000000048
451,1066270000.000000000000,-75.121999999974,-76.959999999963
452,1066271666.666992188000,-75.136000000057,-76.660999999964
453,1066273333.333007813000,-75.143000000040,-76.631000000052
454,1066275000.000000000000,-75.246999999974,-76.741000000038
455,1066276666.666992188000,-75.087000000058,-76.714999999967
456,1066278333.333007812000,-75.912999999942,-77.244999999995
457,1066280000.000000000000,-75.008000000031,-76.763999999966
458,1066281666.666992187000,-74.959999999963,-77.226999999955
459,1066283333.333007812000,-75.084999999963,-76.422999999952
460,1066285000.000000000000,-75.234999999986,-76.947999999975
461,1066286666.666992188000,-74.819999999949,-76.393000000040
462,1066288333.333007813000,-75.253000000026,-76.501999999979
463,1066290000.000000000000,-75.246999999974,-77.449000000022
464,1066291666.666992188000,-75.336000000010,-77.278999999980
465,1066293333.333007812000,-75.221999999951,-77.042000000016
466,1066295000.000000000000,-74.959999999963,-77.625000000000
467,1066296666.666992188000,-75.040999999968,-76.885000000009
468,1066298333.333007812000,-75.403999999980,-77.023999999976
469,1066300000.000000000000,-74.663999999990,-76.554000000004
470,1066301666.666992188000,-74.613999999943,-76.829000000027
471,1066303333.333007813000,-74.984999999986,-77.285999999964
472,1066305000.000000000000,-74.967999999993,-77.275999999954
473,1066306666.666992188000,-75.175999999978,-77.040000000037
474,1066308333.333007812000,-75.408999999985,-77.616000000038
475,1066310000.000000000000,-74.863999999943,-76.648999999976
476,1066311666.666992188000,-75.263999999966,-76.520999999950
477,1066313333.333007812000,-75.315999999992,-76.542000000016
478,1066315000.000000000000,-75.145000000019,-76.792000000016
479,1066316666.666992188000,-75.395999999950,-77.376000000047
480,1066318333.333007812000,-75.179000000004,-77.557000000030
481,1066320000.000000000000,-75.059000000008,-76.853000000003
482,1066321666.666992188000,-75.494999999995,-77.386999999988
483,1066323333.333007812000,-75.037000000011,-76.630000000005
484,1066325000.000000000000,-75.148000000045,-76.834999999963
485,1066326666.666992188000,-74.768000000040,-76.332999999984
486,1066328333.333007812000,-75.072000000044,-76.396999999997
487,1066330000.000000000000,-74.528000000049,-76.777000000002
488,1066331666.666992188000,-74.653000000049,-76.711000000010
489,1066333333.333007812000,-74.746000000043,-76.760000000009
