"SoftPlot +Plus+ Measurement Management Software"
"Start", 1.065020000000000E+0009
"Stop", 1.067020000000000E+0009
"Points",601
"Point","X-Axis (Hz)","Satellite - east of Telstar 11N (dBm)","Telstar 11N (dBm)"
1,1065020000.000000000000,-77.746000000043,-75.820999999996
2,1065023333.333007812000,-78.849000000046,-76.709000000032
3,1065026666.666992188000,-78.037000000011,-76.986000000034
4,1065030000.000000000000,-78.180999999982,-77.315999999992
5,1065033333.333007812000,-78.150000000023,-77.489999999991
6,1065036666.666992188000,-77.979000000050,-78.128999999957
7,1065040000.000000000000,-77.763999999966,-78.434000000008
8,1065043333.333007812000,-77.596999999951,-78.726000000024
9,1065046666.666992188000,-77.633999999962,-78.599000000046
10,1065050000.000000000000,-77.951000000001,-78.623000000021
11,1065053333.333007812000,-77.967999999993,-78.555000000051
12,1065056666.666992188000,-77.873999999953,-78.976000000024
13,1065060000.000000000000,-77.782000000007,-79.001000000047
14,1065063333.333007812000,-77.695999999996,-78.981000000029
15,1065066666.666992188000,-78.059000000008,-79.040999999968
16,1065070000.000000000000,-78.138999999966,-79.099999999977
17,1065073333.333007812000,-77.722999999998,-79.317000000039
18,1065076666.666992187000,-78.263999999966,-79.498999999953
19,1065080000.000000000000,-77.920000000042,-79.108000000007
20,1065083333.333007813000,-78.238999999943,-78.930000000051
21,1065086666.666992188000,-77.657000000007,-79.099000000046
22,1065090000.000000000000,-77.766999999993,-79.260000000009
23,1065093333.333007812000,-77.986000000034,-79.383999999962
24,1065096666.666992188000,-77.640000000014,-79.587999999989
25,1065100000.000000000000,-77.957000000053,-79.457000000053
26,1065103333.333007812000,-77.787000000011,-79.148000000045
27,1065106666.666992188000,-77.582999999984,-79.211000000010
28,1065110000.000000000000,-77.731999999960,-79.150999999954
29,1065113333.333007813000,-77.988000000012,-79.162000000011
30,1065116666.666992188000,-78.027000000002,-79.123999999953
31,1065120000.000000000000,-78.261000000057,-79.109999999986
32,1065123333.333007812000,-78.425999999978,-79.077999999980
