"SoftPlot +Plus+ Measurement Management Software"
"Start", 1.062020000000000E+0009
"Stop", 1.070020000000000E+0009
"Points",601
"Point","X-Axis (Hz)","Satellite - east of Telstar 11N (dBm)","Telstar 11N (dBm)"
181,1064420000.000000000000,-71.675000000047,-62.293000000005
182,1064433333.333007812000,-71.724000000046,-61.435999999987
183,1064446666.666992187000,-71.802999999956,-61.260999999999
184,1064460000.000000000000,-72.048999999999,-60.901000000013
185,1064473333.333007812000,-72.018000000040,-60.766999999993
186,1064486666.666992188000,-72.001000000047,-60.619000000006
187,1064500000.000000000000,-72.020999999950,-60.815000000002
188,1064513333.333007812000,-72.069999999949,-61.577999999980
189,1064526666.666992188000,-72.359000000055,-62.016999999993
190,1064540000.000000000000,-72.866999999969,-62.799999999988
191,1064553333.333007813000,-73.168999999994,-63.840000000026
192,1064566666.666992188000,-73.278999999980,-64.611000000034
193,1064580000.000000000000,-73.310999999987,-65.537999999942
194,1064593333.333007812000,-73.474999999977,-65.391999999993
195,1064606666.666992188000,-73.670000000042,-65.229000000050
196,1064620000.000000000000,-73.462999999989,-65.711000000010
197,1064633333.333007812000,-73.327000000048,-64.625000000000
198,1064646666.666992187000,-73.108000000007,-64.123000000021
199,1064660000.000000000000,-72.810000000056,-63.930999999982
200,1064673333.333007812000,-72.741999999969,-64.253999999957
201,1064686666.666992188000,-72.402000000002,-63.429999999993
202,1064700000.000000000000,-72.260000000009,-63.378000000026
203,1064713333.333007812000,-71.991999999969,-63.505000000005
204,1064726666.666992188000,-71.722999999998,-63.390000000014
205,1064740000.000000000000,-71.626000000047,-63.310999999987
206,1064753333.333007813000,-71.493999999948,-63.498000000021
207,1064766666.666992188000,-71.574999999953,-63.467000000004
208,1064780000.000000000000,-71.616000000038,-63.545999999973
209,1064793333.333007812000,-71.974999999977,-63.318000000028
210,1064806666.666992188000,-71.820999999996,-63.342000000004
211,1064820000.000000000000,-71.797999999952,-63.231000000029
212,1064833333.333007812000,-71.719000000041,-63.254000000015
213,1064846666.666992187000,-71.702999999980,-63.444000000018
214,1064860000.000000000000,-71.792999999947,-63.450000000012
215,1064873333.333007812000,-71.846000000020,-63.485999999975
216,1064886666.666992188000,-71.890999999945,-63.407999999996
217,1064900000.000000000000,-72.077000000048,-63.516000000003
218,1064913333.333007812000,-72.001999999979,-63.417000000016
219,1064926666.666992188000,-72.010000000009,-63.395000000019
220,1064940000.000000000000,-72.003000000026,-63.719999999972
221,1064953333.333007812000,-71.912999999942,-64.373000000021
222,1064966666.666992188000,-71.861999999965,-64.695999999996
223,1064980000.000000000000,-71.842999999993,-65.486000000034
224,1064993333.333007812000,-71.925000000047,-66.109000000055
225,1065006666.666992188000,-71.967999999993,-67.287000000011
226,1065020000.000000000000,-71.978000000003,-68.091999999946
227,1065033333.333007812000,-71.836000000010,-69.170999999973
228,1065046666.666992188000,-71.716000000015,-70.594999999972
229,1065060000.000000000000,-71.596999999951,-71.697000000044
230,1065073333.333007812000,-71.770999999950,-72.209000000032
231,1065086666.666992188000,-71.868000000017,-72.925000000047
232,1065100000.000000000000,-71.780999999959,-73.123000000021
233,1065113333.333007813000,-72.084999999963,-73.209999999963
234,1065126666.666992188000,-71.981999999960,-73.028000000049
235,1065140000.000000000000,-71.841999999946,-73.042999999947
236,1065153333.333007812000,-71.858000000007,-73.255000000005
237,1065166666.666992188000,-71.761000000057,-73.192000000039
238,1065180000.000000000000,-71.672999999952,-73.173999999999
239,1065193333.333007812000,-71.689999999944,-73.202000000048
240,1065206666.666992188000,-71.851000000024,-73.185999999987
241,1065220000.000000000000,-72.028000000049,-73.261000000057
242,1065233333.333007812000,-71.998999999953,-73.187000000034
243,1065246666.666992188000,-71.795999999973,-73.173999999999
244,1065260000.000000000000,-71.582999999984,-73.309000000008
245,1065273333.333007812000,-71.621999999974,-73.253000000026
246,1065286666.666992188000,-71.802999999956,-73.206000000006
247,1065300000.000000000000,-71.824000000022,-73.268999999971
248,1065313333.333007813000,-71.859999999986,-73.312000000034
249,1065326666.666992188000,-71.952999999980,-73.366000000038
250,1065340000.000000000000,-72.163999999990,-73.280000000028
251,1065353333.333007812000,-71.976000000024,-73.288999999990
252,1065366666.666992188000,-71.940999999992,-73.285000000033
253,1065380000.000000000000,-71.983000000007,-73.606000000029
254,1065393333.333007812000,-72.111000000034,-73.305000000051
255,1065406666.666992187000,-72.324000000022,-73.569999999949
256,1065420000.000000000000,-72.532000000007,-73.375000000000
257,1065433333.333007812000,-72.748999999953,-73.472999999998
258,1065446666.666992188000,-73.266999999993,-73.415000000037
259,1065460000.000000000000,-73.266999999993,-73.381999999983
260,1065473333.333007812000,-73.442000000039,-73.253000000026
261,1065486666.666992188000,-73.542000000016,-73.271999999997
262,1065500000.000000000000,-73.572000000044,-73.442000000039
263,1065513333.333007813000,-73.334999999963,-73.312999999966
264,1065526666.666992188000,-73.336000000010,-73.422000000020
265,1065540000.000000000000,-71.770000000019,-73.302000000025
266,1065553333.333007812000,-70.569000000018,-73.471999999951
267,1065566666.666992188000,-69.280999999959,-73.383999999962
268,1065580000.000000000000,-68.070999999996,-73.393999999971
269,1065593333.333007812000,-67.050000000047,-73.437999999966
270,1065606666.666992187000,-66.130000000005,-73.380000000005
271,1065620000.000000000000,-65.476999999955,-73.376999999979
272,1065633333.333007812000,-65.047000000020,-73.349000000046
273,1065646666.666992188000,-64.773000000045,-73.358000000007
274,1065660000.000000000000,-64.412999999942,-73.452000000048
275,1065673333.333007812000,-64.246000000043,-73.351999999955
276,1065686666.666992188000,-64.177000000025,-73.248999999953
277,1065700000.000000000000,-64.160000000033,-73.422999999952
278,1065713333.333007812000,-64.175000000047,-73.192999999970
279,1065726666.666992188000,-64.326000000001,-73.219999999972
280,1065740000.000000000000,-64.265999999945,-73.250000000000
281,1065753333.333007812000,-64.152000000002,-73.209000000032
282,1065766666.666992188000,-64.204000000027,-73.398000000045
283,1065780000.000000000000,-64.165000000037,-73.219999999972
284,1065793333.333007812000,-64.216000000015,-73.113000000012
285,1065806666.666992187000,-64.204000000027,-72.979999999981
286,1065820000.000000000000,-64.195999999996,-72.927000000025
287,1065833333.333007812000,-64.314000000013,-72.623000000021
288,1065846666.666992188000,-64.562999999966,-72.648000000045
289,1065860000.000000000000,-64.711000000010,-71.341999999946
290,1065873333.333007813000,-65.025999999954,-70.564000000013
291,1065886666.666992188000,-65.555000000051,-69.435000000056
292,1065900000.000000000000,-66.287000000011,-68.533999999985
293,1065913333.333007812000,-67.168999999994,-67.500000000000
294,1065926666.666992188000,-68.243999999948,-66.584000000032
295,1065940000.000000000000,-69.386000000057,-65.868999999948
296,1065953333.333007812000,-70.516999999993,-65.160999999964
297,1065966666.666992188000,-71.724999999977,-64.937999999966
298,1065980000.000000000000,-72.675000000047,-64.900999999954
299,1065993333.333007812000,-73.383999999962,-65.047000000020
300,1066006666.666992188000,-73.618000000017,-65.363999999943
301,1066020000.000000000000,-73.327999999980,-66.131000000052
302,1066033333.333007812000,-73.344000000041,-66.314999999944
303,1066046666.666992188000,-71.957999999984,-65.861999999965
304,1066060000.000000000000,-70.844000000041,-65.885000000009
305,1066073333.333007813000,-69.893999999971,-65.055999999982
306,1066086666.666992188000,-68.748999999953,-64.858000000007
307,1066100000.000000000000,-67.893000000040,-64.869999999995
308,1066113333.333007812000,-67.047000000020,-65.126999999979
309,1066126666.666992188000,-66.562999999966,-65.672000000020
310,1066140000.000000000000,-66.222999999998,-66.390999999945
311,1066153333.333007812000,-65.967999999993,-67.356000000029
312,1066166666.666992187000,-65.652000000002,-68.297999999952
313,1066180000.000000000000,-65.631000000052,-69.005000000005
314,1066193333.333007812000,-65.687000000034,-69.653999999980
315,1066206666.666992188000,-65.589999999967,-69.913999999990
316,1066220000.000000000000,-65.574999999953,-69.582000000053
317,1066233333.333007812000,-65.555000000051,-69.332999999984
318,1066246666.666992188000,-65.564000000013,-68.966999999946
319,1066260000.000000000000,-65.462000000058,-68.675999999978
320,1066273333.333007813000,-65.555999999982,-68.452000000048
321,1066286666.666992188000,-65.687999999966,-68.505000000005
322,1066300000.000000000000,-65.729999999981,-68.496000000043
323,1066313333.333007812000,-65.810000000056,-68.640999999945
324,1066326666.666992188000,-65.733000000007,-68.660999999964
325,1066340000.000000000000,-65.763000000035,-68.162999999942
326,1066353333.333007812000,-65.917000000016,-68.131000000052
327,1066366666.666992187000,-66.170000000042,-68.094999999972
328,1066380000.000000000000,-66.722999999998,-68.072999999975
329,1066393333.333007812000,-67.337000000058,-68.096999999951
330,1066406666.666992188000,-68.077999999980,-68.167000000016
331,1066420000.000000000000,-68.913999999990,-68.422999999952
332,1066433333.333007812000,-69.812999999966,-68.442000000039
333,1066446666.666992188000,-70.925000000047,-68.168999999994
334,1066460000.000000000000,-71.942999999970,-68.216000000015
335,1066473333.333007812000,-72.714000000036,-68.209999999963
336,1066486666.666992188000,-73.172000000020,-68.096999999951
337,1066500000.000000000000,-73.614999999991,-68.037000000011
338,1066513333.333007812000,-73.819999999949,-68.015000000014
339,1066526666.666992188000,-73.937000000034,-68.368999999948
340,1066540000.000000000000,-73.942999999970,-68.459000000032
341,1066553333.333007812000,-74.027000000002,-68.064999999944
342,1066566666.666992187000,-74.020999999950,-68.016999999993
343,1066580000.000000000000,-74.094999999972,-68.023999999976
344,1066593333.333007812000,-74.074000000022,-68.104999999981
345,1066606666.666992188000,-74.042999999947,-68.109000000055
346,1066620000.000000000000,-74.030000000028,-68.195999999996
347,1066633333.333007812000,-74.094000000041,-68.185000000056
348,1066646666.666992188000,-74.086000000010,-68.523999999976
349,1066660000.000000000000,-74.045000000042,-67.934000000008
350,1066673333.333007812000,-73.974999999977,-67.869999999995
351,1066686666.666992188000,-73.978000000003,-67.810999999987
352,1066700000.000000000000,-74.074000000022,-67.841999999946
353,1066713333.333007812000,-74.043999999994,-67.957999999984
354,1066726666.666992188000,-74.111999999965,-68.050999999978
355,1066740000.000000000000,-74.126000000047,-67.964999999967
356,1066753333.333007812000,-74.101999999955,-68.413999999990
357,1066766666.666992188000,-74.045999999973,-68.050999999978
358,1066780000.000000000000,-74.030999999959,-67.942000000039
359,1066793333.333007812000,-74.050999999978,-68.032000000007
360,1066806666.666992188000,-74.072999999975,-68.028999999980
361,1066820000.000000000000,-74.130000000005,-67.996999999974
362,1066833333.333007813000,-74.113000000012,-68.106999999960
363,1066846666.666992188000,-74.016999999993,-68.314999999944
364,1066860000.000000000000,-73.954999999958,-69.172999999952
365,1066873333.333007812000,-73.983000000007,-69.141999999993
366,1066886666.666992188000,-73.949999999953,-69.366999999969
367,1066900000.000000000000,-74.097999999998,-70.028000000049
368,1066913333.333007812000,-73.986999999965,-70.581000000006
369,1066926666.666992187000,-74.042999999947,-71.072000000044
370,1066940000.000000000000,-74.121999999974,-71.677999999956
371,1066953333.333007812000,-74.175000000047,-72.280000000028
372,1066966666.666992188000,-74.067000000039,-72.868000000017
373,1066980000.000000000000,-74.057999999961,-73.069999999949
374,1066993333.333007812000,-74.006000000052,-73.194000000018
375,1067006666.666992188000,-74.011000000057,-73.429000000004
376,1067020000.000000000000,-73.998999999953,-73.538999999990
377,1067033333.333007813000,-74.032000000007,-73.479999999981
378,1067046666.666992188000,-74.079000000027,-73.564999999944
379,1067060000.000000000000,-74.097999999998,-73.567999999970
380,1067073333.333007812000,-74.013000000035,-73.518999999971
381,1067086666.666992188000,-74.001000000047,-73.405000000028
382,1067100000.000000000000,-74.097999999998,-73.472999999998
383,1067113333.333007812000,-74.020999999950,-73.640000000014
384,1067126666.666992187000,-74.064000000013,-73.557000000030
385,1067140000.000000000000,-74.092999999993,-73.481999999960
386,1067153333.333007812000,-74.209000000032,-73.528999999980
387,1067166666.666992188000,-74.165000000037,-73.665999999968
388,1067180000.000000000000,-74.158000000054,-73.513000000035
389,1067193333.333007812000,-74.226000000024,-73.516999999993
390,1067206666.666992188000,-74.155000000028,-73.542000000016
391,1067220000.000000000000,-74.109999999986,-73.564000000013
392,1067233333.333007813000,-74.045000000042,-73.621000000043
393,1067246666.666992188000,-74.140000000014,-73.574999999953
394,1067260000.000000000000,-74.126000000047,-73.591000000015
395,1067273333.333007812000,-74.094000000041,-73.582999999984
396,1067286666.666992188000,-74.162999999942,-73.545000000042
397,1067300000.000000000000,-74.162000000011,-73.579000000027
398,1067313333.333007812000,-74.123000000021,-73.550999999978
399,1067326666.666992187000,-74.152000000002,-73.653000000049
400,1067340000.000000000000,-74.057000000030,-73.560000000056
401,1067353333.333007812000,-74.008999999962,-73.548999999999
402,1067366666.666992188000,-74.064999999944,-73.638000000035
403,1067380000.000000000000,-74.069999999949,-73.506000000052
404,1067393333.333007812000,-74.192000000039,-73.488999999943
405,1067406666.666992188000,-74.106000000029,-73.501999999979
406,1067420000.000000000000,-74.167999999947,-73.383000000031
407,1067433333.333007812000,-74.035000000033,-73.376999999979
408,1067446666.666992188000,-74.104000000050,-73.508999999962
409,1067460000.000000000000,-74.076000000001,-73.562999999966
410,1067473333.333007812000,-74.065999999992,-73.488999999943
411,1067486666.666992188000,-74.146999999997,-73.515000000014
412,1067500000.000000000000,-74.212000000058,-73.471999999951
413,1067513333.333007812000,-74.275000000023,-73.626999999979
414,1067526666.666992188000,-74.226000000024,-73.638999999966
415,1067540000.000000000000,-74.265999999945,-73.626000000047
416,1067553333.333007812000,-74.077000000048,-73.581000000006
417,1067566666.666992188000,-74.055000000051,-73.515000000014
418,1067580000.000000000000,-74.011000000057,-73.447999999975
419,1067593333.333007813000,-74.076000000001,-73.390999999945
420,1067606666.666992188000,-74.109000000055,-73.089000000036
421,1067620000.000000000000,-74.179000000004,-72.724000000046
422,1067633333.333007812000,-74.072999999975,-72.346000000020
423,1067646666.666992188000,-74.057999999961,-72.042999999947
424,1067660000.000000000000,-74.199000000022,-72.072999999975
425,1067673333.333007812000,-74.189000000013,-71.241999999969
426,1067686666.666992188000,-74.165000000037,-70.687999999966
427,1067700000.000000000000,-74.130000000005,-70.528999999980
428,1067713333.333007812000,-74.135000000009,-69.910999999964
429,1067726666.666992188000,-74.126000000047,-69.979999999981
430,1067740000.000000000000,-74.106999999960,-69.831000000006
431,1067753333.333007812000,-74.006999999983,-69.907000000007
432,1067766666.666992188000,-74.060999999987,-69.670999999973
433,1067780000.000000000000,-74.229999999981,-69.616999999969
434,1067793333.333007813000,-74.170000000042,-69.277000000002
435,1067806666.666992188000,-74.216999999946,-69.295000000042
436,1067820000.000000000000,-74.118000000017,-69.569000000018
437,1067833333.333007812000,-74.152000000002,-69.842999999993
438,1067846666.666992188000,-74.238999999943,-69.491999999969
439,1067860000.000000000000,-74.155000000028,-69.540999999968
440,1067873333.333007812000,-74.087999999989,-69.761999999988
441,1067886666.666992187000,-74.060000000056,-69.717999999993
442,1067900000.000000000000,-74.037000000011,-69.731999999960
443,1067913333.333007812000,-74.096999999951,-70.069000000018
444,1067926666.666992188000,-74.099999999977,-70.287999999942
445,1067940000.000000000000,-74.170000000042,-69.780000000028
446,1067953333.333007812000,-74.175000000047,-70.148999999976
447,1067966666.666992188000,-74.207999999984,-69.753999999957
448,1067980000.000000000000,-74.243000000017,-70.263999999966
449,1067993333.333007813000,-74.292999999947,-69.770000000019
450,1068006666.666992188000,-74.189999999944,-70.057999999961
451,1068020000.000000000000,-74.194999999949,-69.584999999963
452,1068033333.333007812000,-74.194999999949,-69.576000000001
453,1068046666.666992188000,-74.192999999970,-69.623000000021
454,1068060000.000000000000,-74.180999999982,-69.520000000019
455,1068073333.333007812000,-74.123000000021,-69.530999999959
456,1068086666.666992187000,-74.099000000046,-70.179000000004
457,1068100000.000000000000,-74.121000000043,-70.209999999963
458,1068113333.333007812000,-74.228000000003,-70.369999999995
459,1068126666.666992188000,-74.268999999971,-69.719000000041
460,1068140000.000000000000,-74.331000000006,-70.582999999984
461,1068153333.333007812000,-74.234999999986,-70.015000000014
462,1068166666.666992188000,-74.278999999980,-69.684000000008
463,1068180000.000000000000,-74.172999999952,-69.658999999985
464,1068193333.333007812000,-74.153000000049,-69.459999999963
465,1068206666.666992188000,-74.126000000047,-69.518000000040
466,1068220000.000000000000,-74.128999999957,-69.545000000042
467,1068233333.333007812000,-74.192000000039,-69.677999999956
468,1068246666.666992188000,-74.229000000050,-69.689999999944
469,1068260000.000000000000,-74.263999999966,-69.731000000029
470,1068273333.333007812000,-74.256000000052,-70.511999999988
471,1068286666.666992187000,-74.212999999989,-69.770999999950
472,1068300000.000000000000,-74.187000000034,-70.976000000024
473,1068313333.333007812000,-74.211000000010,-70.222999999998
474,1068326666.666992188000,-74.263999999966,-70.859000000055
475,1068340000.000000000000,-74.327000000048,-69.974000000046
476,1068353333.333007813000,-74.297999999952,-70.094999999972
477,1068366666.666992188000,-74.481000000029,-69.920999999973
478,1068380000.000000000000,-74.408000000054,-69.979999999981
479,1068393333.333007812000,-74.307000000030,-69.692000000039
480,1068406666.666992188000,-74.315999999992,-69.890000000014
481,1068420000.000000000000,-74.425000000047,-69.954000000027
482,1068433333.333007812000,-74.293999999994,-69.984999999986
483,1068446666.666992188000,-74.270999999950,-70.236999999965
484,1068460000.000000000000,-74.327000000048,-70.319999999949
485,1068473333.333007812000,-74.336000000010,-70.712000000058
486,1068486666.666992188000,-74.288999999990,-70.939999999944
487,1068500000.000000000000,-74.202999999980,-70.668999999994
